"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.640441664E-2,-3.968154266E-2,-9.941033274E-2,8.649898320E-2
2.637441666E-2,-4.135192558E-2,-1.275252253E-1,1.464949399E-1
3.634541668E-2,-2.533780225E-2,-1.577353179E-1,1.830018163E-1
4.631541669E-2,-1.280154102E-2,-1.623681486E-1,1.824014634E-1
5.628541671E-2,-2.916090016E-4,-1.338563412E-1,1.353252977E-1
6.625641673E-2,2.855490893E-3,-7.753414661E-2,6.809996814E-2
7.622641674E-2,-9.774284437E-3,-5.417582393E-2,2.912487090E-2
8.619641676E-2,-1.586304791E-2,-4.861590639E-2,2.776041813E-2
9.616741678E-2,-9.078112431E-3,-4.843560979E-2,4.784118384E-2
1.061374168E-1,-5.032775924E-3,-4.538050294E-2,6.697975099E-2
1.161074168E-1,-9.603292681E-3,-5.355933681E-2,7.407228649E-2
1.260784166E-1,-2.765019238E-2,-7.417339087E-2,5.652173236E-2
1.360484166E-1,-3.430809453E-2,-9.413085133E-2,4.597214982E-2
1.460194166E-1,-2.665734664E-2,-9.658198804E-2,4.352379218E-2
1.559894166E-1,-2.361894585E-2,-9.998124093E-2,5.137798563E-2
1.659594167E-1,-1.145966630E-2,-1.199230924E-1,7.071420550E-2
1.759304167E-1,-1.102397311E-2,-1.556259692E-1,9.055395424E-2
1.859004167E-1,-2.028122172E-2,-2.029390186E-1,1.060200110E-1
1.958704167E-1,-2.739399299E-2,-2.338047922E-1,1.082037985E-1
2.058414167E-1,-4.226395488E-2,-2.494992018E-1,1.114975214E-1
2.158114167E-1,-5.311660096E-2,-2.827453017E-1,1.296475083E-1
2.257814168E-1,-6.334830076E-2,-3.416452408E-1,1.651756763E-1
2.357524168E-1,-7.413437217E-2,-4.019794166E-1,2.211265713E-1
2.457224168E-1,-5.753558502E-2,-4.672035575E-1,2.903604805E-1
2.556924168E-1,-3.926896304E-2,-5.399347544E-1,3.548997939E-1
2.656634168E-1,-4.673512280E-2,-6.235433817E-1,4.100359380E-1
2.756334166E-1,-6.378201395E-2,-7.665300965E-1,4.592109323E-1
2.856034166E-1,-9.437435865E-2,-9.329484701E-1,5.259482861E-1
2.955730418E-1,-1.411879361E-1,-1.122130871E0,5.966019630E-1
3.055430418E-1,-1.973353475E-1,-1.300717950E0,6.669090390E-1
3.155130418E-1,-2.506220043E-1,-1.474491954E0,7.244170904E-1
3.254840418E-1,-2.788021564E-1,-1.605016351E0,7.801775932E-1
