"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.750065219295744E9,"2025-06-16 11:13:39.296 UTC+02:00"
"PAUSE",5.034718987508677E1,1.750065269642303E9,"2025-06-16 11:14:29.642 UTC+02:00"
