"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.750066422107400E9,"2025-06-16 11:33:42.107 UTC+02:00"
"PAUSE",4.028676950000226E1,1.750066462393829E9,"2025-06-16 11:34:22.394 UTC+02:00"
