"Time (s)","X (hPa)"
-5.555244584E-1,1.025207520E3
4.715705416E-1,1.025196381E3
1.498647542E0,1.025185242E3
2.525729542E0,1.025185242E3
3.552704542E0,1.025133362E3
4.579608542E0,1.025133362E3
4.725404542E0,1.025133362E3
5.675945542E0,1.025179291E3
6.626573542E0,1.025179291E3
7.577145542E0,1.025032883E3
8.527596542E0,1.025032883E3
9.478035542E0,1.025080872E3
1.042834654E1,1.025080872E3
1.137865654E1,1.025099792E3
1.232907854E1,1.025126801E3
1.327947654E1,1.025126801E3
1.422981154E1,1.025061340E3
1.518021054E1,1.025061340E3
1.613057154E1,1.025071640E3
1.708086054E1,1.025098038E3
1.803117854E1,1.025098038E3
1.898137854E1,1.025124207E3
1.993152354E1,1.025124207E3
2.088162154E1,1.025124207E3
2.183171354E1,1.025177307E3
2.278175154E1,1.025262909E3
2.373163654E1,1.025262909E3
2.468168154E1,1.025215836E3
2.563162154E1,1.025179749E3
2.658151154E1,1.025114212E3
2.753145754E1,1.025038986E3
2.848118454E1,1.025038986E3
2.943107154E1,1.025031967E3
3.038088254E1,1.025063019E3
3.133054154E1,1.025059509E3
3.228024854E1,1.025063019E3
3.322997154E1,1.025068665E3
3.417968454E1,1.025103531E3
