"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.330598354E-2,5.238067068E1,4.860652460E0,2.941240501E1,NaN,NaN,5.675923873E2,4.346397018E1
4.254450798E-1,5.238129865E1,4.860444602E0,1.196436691E1,NaN,NaN,2.616644180E1,2.473953247E1
2.268634081E0,5.238129865E1,4.860444602E0,7.426998615E0,NaN,NaN,2.616644180E1,2.007660484E1
2.811224461E0,5.238128909E1,4.860799424E0,4.150643539E1,1.059999943E0,5.308593750E1,2.572098094E1,3.200000000E1
3.811213374E0,5.238125820E1,4.860813841E0,3.941030502E1,1.500000060E-1,NaN,1.233346698E1,2.400000000E1
4.811202526E0,5.238124525E1,4.860831359E0,3.667477036E1,1.800000072E-1,NaN,1.268874243E1,1.600000000E1
5.811191320E0,5.238124135E1,4.860837730E0,3.464468002E1,2.199999988E-1,NaN,8.596049672E0,1.200000000E1
6.811908722E0,5.238123754E1,4.860842340E0,3.648189926E1,2.500000000E-1,NaN,7.977385916E0,1.200000000E1
7.811911583E0,5.238122501E1,4.860849632E0,3.383004379E1,2.099999934E-1,NaN,7.358248287E0,1.200000000E1
8.811904669E0,5.238121139E1,4.860860528E0,3.396841049E1,0.000000000E0,NaN,7.278503558E0,1.200000000E1
9.811916232E0,5.238120146E1,4.860866815E0,3.681173325E1,1.599999964E-1,NaN,6.968541085E0,1.200000000E1
1.081192982E1,5.238118603E1,4.860868910E0,3.367190170E1,0.000000000E0,3.392578125E2,6.353155499E0,8.000000000E0
1.181192231E1,5.238117606E1,4.860869329E0,3.419839096E1,0.000000000E0,3.431250000E2,6.547608362E0,8.000000000E0
1.281192672E1,5.238116470E1,4.860866731E0,3.437801743E1,0.000000000E0,2.998828125E2,6.339068975E0,8.000000000E0
1.381193149E1,5.238116470E1,4.860866731E0,3.437801749E1,0.000000000E0,NaN,6.339068975E0,8.000000000E0
1.481192243E1,5.238115192E1,4.860861534E0,3.308364493E1,4.000000060E-1,NaN,6.145253591E0,8.000000000E0
1.581192553E1,5.238114270E1,4.860861115E0,3.008041007E1,4.000000060E-1,NaN,6.485283880E0,8.000000000E0
1.681193435E1,5.238113960E1,4.860862037E0,2.926302726E1,2.199999988E-1,NaN,5.996786302E0,8.000000000E0
1.781192708E1,5.238113926E1,4.860863965E0,2.862923820E1,2.099999934E-1,NaN,6.026481035E0,8.000000000E0
1.881193471E1,5.238113608E1,4.860859187E0,2.980874259E1,2.199999988E-1,NaN,5.720356698E0,8.000000000E0
1.981194210E1,5.238113946E1,4.860862066E0,3.018270501E1,5.099999905E-1,3.199219064E1,5.901817367E0,8.000000000E0
2.081193447E1,5.238113616E1,4.860860193E0,3.029250724E1,0.000000000E0,NaN,6.056075029E0,8.000000000E0
2.181192815E1,5.238113457E1,4.860856002E0,3.028542716E1,0.000000000E0,NaN,5.450422935E0,8.000000000E0
2.281191969E1,5.238113377E1,4.860851057E0,3.111367423E1,0.000000000E0,NaN,5.191147503E0,6.000000000E0
2.381191325E1,5.238113902E1,4.860839265E0,3.014577876E1,6.399999857E-1,3.241406206E2,5.018260281E0,6.000000000E0
2.481190515E1,5.238114075E1,4.860832741E0,3.064455806E1,7.200000286E-1,3.297656208E2,5.157779987E0,6.000000000E0
2.581189692E1,5.238113029E1,4.860835634E0,2.970742423E1,0.000000000E0,NaN,5.102558198E0,6.000000000E0
2.681188881E1,5.238112418E1,4.860836053E0,3.089693839E1,0.000000000E0,NaN,5.600527510E0,6.000000000E0
2.781188023E1,5.238111470E1,4.860833120E0,3.123543937E1,0.000000000E0,NaN,6.113351661E0,8.000000000E0
2.881187201E1,5.238110662E1,4.860829851E0,3.104659659E1,2.099999934E-1,NaN,5.585746148E0,8.000000000E0
2.981186366E1,5.238110071E1,4.860826749E0,3.099917228E1,0.000000000E0,NaN,5.703242864E0,8.000000000E0
3.081185472E1,5.238109848E1,4.860821636E0,3.218166740E1,3.100000024E-1,NaN,5.956159044E0,8.000000000E0
3.181184602E1,5.238109387E1,4.860816691E0,3.156344230E1,3.100000024E-1,NaN,6.048390282E0,8.000000000E0
3.281183648E1,5.238108880E1,4.860814763E0,3.217477042E1,4.300000072E-1,NaN,6.161778591E0,8.000000000E0
3.381182694E1,5.238107134E1,4.860869778E0,2.420633156E-1,3.019653495E-1,NaN,8.250535045E0,1.447041154E0
3.481181777E1,5.238105908E1,4.860837341E0,3.464440685E-1,5.281749082E-1,3.108009591E2,6.949581151E0,1.409668616E0
3.581180823E1,5.238106870E1,4.860876209E0,5.445183385E-1,9.755835149E-2,NaN,6.035956706E0,1.557482683E0
3.681179893E1,5.238107044E1,4.860891306E0,6.335121058E-1,2.740334685E-1,NaN,5.805026302E0,1.753482408E0
