"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.750067254199351E9,"2025-06-16 11:47:34.199 UTC+02:00"
"PAUSE",4.654803445842117E1,1.750067300746743E9,"2025-06-16 11:48:20.747 UTC+02:00"
