"Time (s)","X (hPa)"
-5.555511252E-1,1.024967270E3
4.684758747E-1,1.024915771E3
1.492527875E0,1.024864197E3
2.516529875E0,1.024851990E3
3.540523875E0,1.024851990E3
4.564435875E0,1.024871368E3
4.714877875E0,1.024884338E3
5.662917875E0,1.024882507E3
6.610952875E0,1.024882507E3
7.559168875E0,1.024873352E3
8.507319875E0,1.024849319E3
9.455358875E0,1.024847641E3
1.040341187E1,1.024839783E3
1.135138887E1,1.024834442E3
1.229935487E1,1.024829712E3
1.324735387E1,1.024829712E3
1.419545087E1,1.024828568E3
1.514348387E1,1.024815369E3
1.609140787E1,1.024815369E3
1.703920587E1,1.024899216E3
1.798706887E1,1.024899216E3
1.893493087E1,1.024715729E3
1.988286887E1,1.024710770E3
2.083080887E1,1.024694977E3
2.177862487E1,1.024565506E3
2.272628787E1,1.024565506E3
2.367421887E1,1.024664536E3
2.462209787E1,1.024681778E3
2.556992887E1,1.024717712E3
2.651782787E1,1.024789352E3
2.746572187E1,1.024789352E3
2.841357387E1,1.024705048E3
2.936139987E1,1.024705048E3
3.030925787E1,1.024705048E3
3.125734287E1,1.024683075E3
3.220536387E1,1.024600677E3
3.315328687E1,1.024551849E3
3.410121887E1,1.024549637E3
3.504910687E1,1.024448013E3
3.599697587E1,1.024448013E3
3.694483087E1,1.024490967E3
3.789274987E1,1.024714584E3
3.884072287E1,1.024760056E3
3.978868787E1,1.024767914E3
4.073679487E1,1.024767914E3
4.168507287E1,1.024744339E3
4.263327087E1,1.024734802E3
4.358147287E1,1.024730530E3
4.452963487E1,1.024730530E3
4.547778287E1,1.024706650E3
4.642590087E1,1.024684906E3
4.737415387E1,1.024678268E3
4.832258187E1,1.024684906E3
4.927084487E1,1.024633102E3
5.021930987E1,1.024785995E3
5.116801387E1,1.024785995E3
5.211669687E1,1.024819565E3
5.306549287E1,1.024819565E3
5.401440287E1,1.024811859E3
5.496339687E1,1.024811630E3
5.591259987E1,1.024811859E3
