"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.986242500E-1,1.095721436E-1,-3.493884430E0,9.116641846E0
9.085942500E-1,2.017803955E-1,-3.504811707E0,9.182654572E0
9.185642500E-1,1.685494995E-1,-3.483106842E0,9.202563171E0
9.285342500E-1,8.352630615E-2,-3.511248322E0,9.198820953E0
9.385042500E-1,4.909790039E-2,-3.563938751E0,9.321865082E0
9.484742500E-1,5.119354248E-2,-3.604205017E0,9.426647186E0
9.584442498E-1,-2.499801636E-2,-3.563339996E0,9.473948822E0
9.684142498E-1,-6.735992432E-2,-3.269800415E0,9.505682831E0
9.783842498E-1,-6.870712280E-2,-2.989283752E0,9.512269135E0
9.883542499E-1,5.688171387E-3,-2.852318573E0,9.520801392E0
9.983252499E-1,1.431024170E-1,-2.868185577E0,9.602232056E0
1.008295250E0,2.883004761E-1,-2.924917603E0,9.669142914E0
1.018265250E0,3.532653809E-1,-2.953657837E0,9.754016418E0
1.028235250E0,4.610412598E-1,-3.020868073E0,9.840835876E0
1.038205250E0,6.533912659E-1,-3.024759979E0,9.936187592E0
1.048175250E0,8.518785095E-1,-3.083887024E0,1.003558090E1
1.058145250E0,9.812095642E-1,-3.071911926E0,1.016042130E1
1.068115250E0,1.044228516E0,-2.983595581E0,1.021760239E1
1.078085250E0,9.958790588E-1,-2.864293671E0,1.018452118E1
1.088055250E0,9.032217407E-1,-2.691552887E0,1.007420059E1
1.098025250E0,8.253836060E-1,-2.442919922E0,9.875563660E0
1.107995250E0,7.764353943E-1,-2.313738556E0,9.730515289E0
1.117965250E0,8.080197144E-1,-2.276316376E0,9.633816376E0
1.127936250E0,9.599537659E-1,-2.228415985E0,9.459429016E0
1.137906250E0,1.116079102E0,-2.171833649E0,9.280401306E0
1.147876250E0,1.188079376E0,-2.150877228E0,9.184151459E0
1.157846250E0,1.189127197E0,-2.112706604E0,9.143136749E0
1.167816250E0,1.103505249E0,-2.111509094E0,9.138646088E0
1.177786250E0,1.063089294E0,-2.134261780E0,9.209299164E0
1.187756250E0,1.037492523E0,-1.968256989E0,9.016350403E0
1.197726250E0,9.894424438E-1,-1.785786438E0,8.624615021E0
1.207696250E0,9.301657104E-1,-1.616338806E0,8.311017151E0
1.217666250E0,9.229806519E-1,-1.588047638E0,8.220754852E0
1.227636250E0,8.665480042E-1,-1.407972107E0,8.241561584E0
1.237606250E0,7.665559387E-1,-1.166673889E0,8.301437073E0
1.247576250E0,6.363267517E-1,-1.165925446E0,8.474926300E0
1.257547250E0,6.538403320E-1,-1.316661987E0,8.671766968E0
1.267517250E0,8.373587036E-1,-1.467697906E0,8.907975769E0
1.277487250E0,1.142124939E0,-1.545236664E0,9.122030640E0
1.287457250E0,1.482666779E0,-1.563348999E0,9.289532318E0
1.297427250E0,1.727856903E0,-1.567091217E0,9.414223022E0
1.307397250E0,1.822011108E0,-1.385518799E0,9.496402130E0
1.317367250E0,1.693727875E0,-1.047222290E0,9.570498047E0
1.327337250E0,1.399888916E0,-6.662644958E-1,9.669142914E0
1.337307250E0,9.916877747E-1,-3.603007507E-1,9.813592529E0
1.347277250E0,6.680607605E-1,-1.431024170E-1,9.821526031E0
1.357247250E0,4.909790039E-1,-1.562750244E-1,9.881401520E0
1.367217250E0,6.381230164E-1,-2.634521484E-1,1.001387604E1
1.377187250E0,9.512718201E-1,-2.655477905E-1,1.003303619E1
1.387158250E0,1.253343658E0,-3.505709839E-1,9.946216736E0
1.397128250E0,1.517244873E0,-3.394940186E-1,9.840087433E0
1.407098250E0,1.604214020E0,-3.195854187E-1,9.763596497E0
1.417068250E0,1.537003784E0,-3.131488037E-1,9.665550385E0
1.427038250E0,1.517693939E0,-2.320175171E-1,9.585915985E0
1.437008250E0,1.482666779E0,3.562591553E-2,9.482780457E0
1.446978250E0,1.372046814E0,2.832110596E-1,9.313931580E0
1.456948250E0,1.175355835E0,3.429368591E-1,9.350455627E0
1.466918250E0,9.614506531E-1,1.799258423E-1,9.519753571E0
1.476888250E0,7.973918152E-1,-1.239422607E-1,9.718540192E0
1.486858250E0,7.310797119E-1,-2.562670898E-1,9.985285492E0
1.496828250E0,8.216413879E-1,-1.736389160E-1,1.020532791E1
1.506798250E0,9.208850098E-1,-2.748284912E-1,1.030801437E1
1.516769250E0,6.819818115E-1,-4.650828552E-1,1.045455963E1
1.526739250E0,4.969665527E-2,-4.468208313E-1,1.064571213E1
1.536709250E0,-5.227130127E-1,-3.400927734E-1,1.075229050E1
1.546679250E0,-7.277865601E-1,-3.438349915E-1,1.076621155E1
1.556649250E0,-6.664141846E-1,-4.342469788E-1,1.074675201E1
1.566619250E0,-4.564009094E-1,-4.436773682E-1,1.066397415E1
1.576589250E0,-1.279838562E-1,-5.028044128E-1,1.018482056E1
1.586559250E0,4.317022705E-1,-5.017565918E-1,9.343569946E0
1.596529250E0,1.252295837E0,-3.095562744E-1,8.556955719E0
1.606499250E0,2.029030609E0,4.939727783E-3,7.896080017E0
1.616469250E0,2.659369812E0,1.712438965E-1,7.575147400E0
1.626439250E0,2.965183868E0,2.056723022E-1,7.604187012E0
1.636409250E0,2.999312897E0,1.389111328E-1,7.763605499E0
1.646379250E0,2.965034180E0,-5.688171387E-2,7.952662354E0
1.656350250E0,3.013233948E0,-3.305126953E-1,8.183482361E0
1.666320250E0,3.038681030E0,-4.983137512E-1,8.356971588E0
1.676290250E0,2.857258301E0,-5.596861267E-1,8.238418121E0
