"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749469905552571E9,"2025-06-09 13:51:45.553 UTC+02:00"
"PAUSE",4.087768204160966E1,1.749469946429876E9,"2025-06-09 13:52:26.430 UTC+02:00"
