"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.750065107540322E9,"2025-06-16 11:11:47.540 UTC+02:00"
"PAUSE",6.300520254182629E1,1.750065170544485E9,"2025-06-16 11:12:50.544 UTC+02:00"
