"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.444871251E-1,3.309702035E-3,-5.666788816E-1,9.485802054E-1
8.544581251E-1,2.152652293E-2,-6.281811595E-1,9.694913626E-1
8.644291251E-1,4.646187648E-2,-6.567224264E-1,9.725503922E-1
8.743991251E-1,1.099961102E-1,-6.861572862E-1,9.946773052E-1
8.843695000E-1,1.959587783E-1,-7.091303468E-1,1.026430845E0
8.943395000E-1,2.717432678E-1,-7.440600991E-1,1.033436537E0
9.043105000E-1,3.460219800E-1,-7.881741524E-1,1.021411419E0
9.142815000E-1,3.966494799E-1,-8.408693075E-1,1.001497626E0
9.242515001E-1,4.428946674E-1,-8.744542599E-1,9.886604548E-1
9.342225001E-1,5.136796236E-1,-9.184967875E-1,9.882849455E-1
9.441935001E-1,5.847515464E-1,-9.785401225E-1,1.034122586E0
9.541635001E-1,6.583973169E-1,-1.050210238E0,1.094336867E0
9.641345001E-1,7.453660369E-1,-1.177001476E0,1.137944579E0
9.741045001E-1,8.215172887E-1,-1.292914510E0,1.157426953E0
9.840755002E-1,8.630243540E-1,-1.375144124E0,1.123050690E0
9.940465000E-1,9.147570133E-1,-1.450442076E0,1.091894627E0
1.004016500E0,1.004530787E0,-1.498755097E0,1.078868032E0
1.013987500E0,1.080013514E0,-1.538668394E0,1.050346136E0
1.023957500E0,1.156689167E0,-1.552555323E0,1.029695034E0
1.033928500E0,1.214958310E0,-1.520567060E0,1.025179386E0
1.043899500E0,1.230100155E0,-1.494471788E0,1.009655595E0
1.053869500E0,1.226140022E0,-1.537462950E0,9.622430205E-1
1.063840500E0,1.229470849E0,-1.555840135E0,9.157499075E-1
1.073810500E0,1.307967782E0,-1.568698883E0,8.754383922E-1
1.083781500E0,1.393427253E0,-1.588770270E0,8.675428033E-1
1.093752500E0,1.412963748E0,-1.559026003E0,8.431913853E-1
1.103722500E0,1.393452048E0,-1.518894911E0,7.854243517E-1
1.113693500E0,1.375794053E0,-1.417466044E0,7.308740616E-1
1.123663500E0,1.335019827E0,-1.203091025E0,6.894928217E-1
1.133634500E0,1.296965361E0,-1.018071651E0,6.593714356E-1
1.143605500E0,1.285429358E0,-9.182505012E-1,6.434621811E-1
1.153575500E0,1.246045470E0,-9.235746861E-1,6.222708821E-1
1.163546500E0,1.207909584E0,-1.055436492E0,6.122063398E-1
1.173517500E0,1.173993945E0,-1.209662914E0,5.783810019E-1
1.183487500E0,1.151805758E0,-1.356302142E0,5.106408000E-1
1.193458500E0,1.115763664E0,-1.457341909E0,4.170975387E-1
1.203428500E0,1.109337091E0,-1.436843276E0,3.595763147E-1
1.213399500E0,1.083267331E0,-1.364713907E0,3.451284170E-1
1.223370500E0,1.062004209E0,-1.249386072E0,3.522126377E-1
1.233340500E0,1.046798706E0,-1.072211027E0,3.181207180E-1
1.243311500E0,1.049448252E0,-8.742203116E-1,3.079221845E-1
1.253281500E0,1.056984901E0,-6.793869138E-1,3.132013679E-1
1.263252500E0,1.070825696E0,-4.543533027E-1,3.154354393E-1
1.273223500E0,1.087197185E0,-2.565022707E-1,2.968415320E-1
1.283193500E0,1.094563127E0,-1.306537837E-1,2.354062349E-1
1.293164500E0,1.090548396E0,-1.043880880E-1,1.542927474E-1
1.303134500E0,1.079814315E0,-1.220166162E-1,1.115825698E-1
1.313105500E0,1.025901556E0,-1.926423311E-1,9.822468460E-2
1.323076500E0,9.597862959E-1,-2.853089571E-1,9.081402421E-2
1.333046500E0,9.508998394E-1,-4.070092738E-1,8.699718118E-2
1.343017500E0,9.531468749E-1,-4.598107338E-1,5.216082558E-2
1.352988500E0,9.527444839E-1,-4.021272063E-1,3.111519478E-2
1.362958500E0,9.482188821E-1,-2.951295972E-1,2.518942766E-2
1.372929500E0,9.289214015E-1,-1.345036924E-1,8.253261447E-2
1.382899500E0,9.126132727E-1,9.810218588E-3,1.499871910E-1
1.392870500E0,8.909290433E-1,8.634094149E-2,1.638042033E-1
1.402841500E0,8.667339683E-1,1.020772010E-1,2.140927017E-1
1.412811500E0,9.013513327E-1,1.327493489E-1,2.805382907E-1
1.422782500E0,9.453468919E-1,1.248924211E-1,2.654225826E-1
1.432752500E0,9.488379955E-1,2.238947898E-2,2.696152031E-1
1.442723500E0,8.829617500E-1,-3.071716614E-2,3.511061072E-1
1.452694500E0,7.688381076E-1,-7.251786301E-4,4.859147966E-1
1.462664500E0,5.748128295E-1,2.862009034E-2,6.697356105E-1
1.472635500E0,4.847779870E-1,1.273810267E-1,8.551328778E-1
1.482605500E0,5.652493834E-1,3.752139807E-1,8.773508668E-1
1.492576500E0,6.787903309E-1,5.657503605E-1,8.370828032E-1
1.502547500E0,7.405942082E-1,6.955273747E-1,8.494169116E-1
1.512517500E0,7.594541311E-1,7.954837680E-1,8.478142023E-1
1.522488500E0,7.247690558E-1,8.040851355E-1,8.262560368E-1
1.532459500E0,7.317473292E-1,7.595067024E-1,7.494275570E-1
1.542429500E0,7.617948055E-1,7.329083085E-1,6.342768669E-1
1.552400500E0,7.840407491E-1,7.170715332E-1,5.236499906E-1
1.562370500E0,7.708399296E-1,6.930278540E-1,4.122510850E-1
1.572341500E0,7.340941429E-1,6.480952501E-1,3.143120110E-1
1.582312500E0,6.888749003E-1,5.863001347E-1,2.382369637E-1
1.592282500E0,6.276176572E-1,5.866026878E-1,1.801153421E-1
1.602253500E0,5.490552783E-1,5.560490489E-1,1.602756679E-1
1.612223500E0,4.418994784E-1,4.008690715E-1,1.867650747E-1
1.622194500E0,2.025393397E-1,2.376614660E-1,2.831161320E-1
1.632165500E0,-7.715170830E-2,4.847928882E-2,3.551096320E-1
1.642135500E0,-2.685178518E-1,-1.818718761E-1,4.606100619E-1
1.652106500E0,-3.437398970E-1,-2.806416154E-1,5.331564546E-1
1.662076500E0,-3.454418778E-1,-1.913802624E-1,5.239773393E-1
1.672047500E0,-3.431081474E-1,-2.383033037E-1,5.037556887E-1
1.682018500E0,-3.529048264E-1,-4.535134733E-1,4.566203058E-1
