"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.750065419686695E9,"2025-06-16 11:16:59.687 UTC+02:00"
"PAUSE",5.032352245831862E1,1.750065470009721E9,"2025-06-16 11:17:50.010 UTC+02:00"
