"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.057998657E-3,5.238136094E1,4.860385699E0,2.330186486E0,NaN,NaN,2.427360696E1,2.418191147E1
5.215096474E-2,5.238136094E1,4.860385699E0,2.331159234E0,NaN,NaN,2.427360696E1,3.367599869E1
5.910209417E-1,5.238136094E1,4.860385699E0,2.333406925E0,NaN,NaN,2.427360696E1,2.254824448E1
2.275936007E0,5.238136094E1,4.860385699E0,2.311668515E0,NaN,NaN,2.427360696E1,1.912563896E1
7.370452046E0,5.238127870E1,4.860597672E0,1.058437347E0,0.000000000E0,NaN,1.772962363E1,4.000000000E0
8.369188905E0,5.238119144E1,4.860607730E0,2.011623383E0,0.000000000E0,NaN,1.247300178E1,4.000000000E0
9.371447921E0,5.238118972E1,4.860611418E0,2.598232269E0,0.000000000E0,NaN,1.082151615E1,4.000000000E0
1.035318863E1,5.238118511E1,4.860613849E0,3.161830902E0,0.000000000E0,NaN,9.771203428E0,4.000000000E0
1.135319674E1,5.238119718E1,4.860632876E0,3.523097992E0,0.000000000E0,NaN,8.169574640E0,4.000000000E0
1.235318494E1,5.238119261E1,4.860674869E0,2.796718597E0,0.000000000E0,NaN,8.902933889E0,4.000000000E0
1.335318756E1,5.238118134E1,4.860681994E0,3.334316254E0,0.000000000E0,NaN,7.951329414E0,4.000000000E0
1.435319221E1,5.238118482E1,4.860652238E0,4.008876801E0,0.000000000E0,NaN,7.049865689E0,4.000000000E0
1.535317767E1,5.238116520E1,4.860570682E0,4.377407074E0,0.000000000E0,NaN,7.564563106E0,4.000000000E0
1.635317528E1,5.238116520E1,4.860570682E0,4.377407142E0,0.000000000E0,NaN,7.564563106E0,4.000000000E0
1.735318077E1,5.238115783E1,4.860538999E0,5.103603432E0,0.000000000E0,NaN,6.520811025E0,4.000000000E0
1.835316586E1,5.238116504E1,4.860577891E0,4.789394448E0,0.000000000E0,NaN,6.051123472E0,4.000000000E0
1.935316348E1,5.238116898E1,4.860595493E0,4.782985754E0,0.000000000E0,NaN,5.827252487E0,4.000000000E0
2.035316801E1,5.238116198E1,4.860596163E0,4.596889564E0,0.000000000E0,NaN,6.001604029E0,4.000000000E0
2.135315335E1,5.238116265E1,4.860598510E0,4.572963784E0,0.000000000E0,NaN,6.567076152E0,4.000000000E0
2.235315943E1,5.238116127E1,4.860599348E0,4.482814858E0,0.000000000E0,NaN,7.384355042E0,4.000000000E0
2.335315728E1,5.238116097E1,4.860598259E0,4.671535560E0,0.000000000E0,NaN,7.787425644E0,4.000000000E0
2.435313928E1,5.238116114E1,4.860598091E0,4.882534095E0,0.000000000E0,NaN,8.718876769E0,4.000000000E0
2.535312593E1,5.238116114E1,4.860599767E0,4.555751869E0,0.000000000E0,NaN,9.580355760E0,4.000000000E0
2.635311270E1,5.238116114E1,4.860599684E0,4.271267006E0,0.000000000E0,NaN,1.119927956E1,4.000000000E0
2.735309994E1,5.238116152E1,4.860600689E0,4.024379798E0,0.000000000E0,NaN,1.289726652E1,4.000000000E0
2.835308754E1,5.238116030E1,4.860601360E0,4.047695228E0,0.000000000E0,NaN,1.474850593E1,4.000000000E0
2.935307384E1,5.238115112E1,4.860598510E0,4.491603919E0,0.000000000E0,NaN,1.377382417E1,4.000000000E0
3.035306191E1,5.238115087E1,4.860603455E0,4.841274330E0,0.000000000E0,NaN,1.274559395E1,4.000000000E0
3.135304880E1,5.238114044E1,4.860592643E0,5.275295326E0,8.799999952E-1,NaN,1.310756958E1,4.000000000E0
3.235303652E1,5.238119605E1,4.860628685E0,4.996120522E0,6.600000262E-1,NaN,9.882444759E0,4.000000000E0
3.335302389E1,5.238114970E1,4.860709235E0,5.409023353E0,6.600000262E-1,NaN,7.962999591E0,4.000000000E0
