"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.750067602187982E9,"2025-06-16 11:53:22.188 UTC+02:00"
"PAUSE",3.741901283338666E1,1.750067639606664E9,"2025-06-16 11:53:59.607 UTC+02:00"
