"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.391225833E-1,-1.072417572E-1,3.573511839E-1,8.392686844E-1
7.490925833E-1,-5.137130246E-2,2.388349324E-1,8.629745841E-1
7.590635833E-1,4.128004983E-2,6.367018819E-2,8.420363665E-1
7.690335833E-1,1.534010023E-1,-9.257746488E-2,7.876237631E-1
7.790035834E-1,2.658055723E-1,-1.497475505E-1,7.179197669E-1
7.889735834E-1,3.037851751E-1,-9.210742265E-2,6.261685491E-1
7.989435834E-1,2.166889012E-1,1.151039675E-1,5.402793288E-1
8.089135834E-1,9.431052953E-2,4.452720284E-1,4.849560857E-1
8.188845832E-1,-2.905006893E-2,7.843276858E-1,4.318553209E-1
8.288545832E-1,-1.658582538E-1,1.121941686E0,3.425888121E-1
8.388245832E-1,-3.035207093E-1,1.397278547E0,2.573056221E-1
8.487945832E-1,-4.148336351E-1,1.639427304E0,1.655437499E-1
8.587645832E-1,-5.309118629E-1,1.844022036E0,5.533497408E-2
8.687345833E-1,-6.873859167E-1,1.988606691E0,-7.586619258E-2
8.787055833E-1,-8.009592891E-1,2.024724007E0,-2.029350698E-1
8.886757083E-1,-7.957741022E-1,1.962311506E0,-2.686493993E-1
8.986457083E-1,-6.834089756E-1,1.750046372E0,-2.588241100E-1
9.086157084E-1,-5.317017436E-1,1.349105358E0,-2.283359617E-1
9.185857084E-1,-3.505194783E-1,7.573963404E-1,-2.306916267E-1
9.285557084E-1,-1.302733719E-1,6.900835037E-2,-2.258265615E-1
9.385267084E-1,8.626005799E-2,-6.882026196E-1,-2.274693251E-1
9.484967082E-1,2.096624225E-1,-1.437497616E0,-2.190888822E-1
9.584667082E-1,2.210793942E-1,-2.175170183E0,-2.004219145E-1
9.684367082E-1,1.696391106E-1,-2.673465729E0,-2.084215134E-1
9.784067082E-1,5.285338685E-2,-2.915887833E0,-2.257503718E-1
9.883767082E-1,-1.070798188E-1,-2.923368454E0,-2.241343707E-1
9.983477083E-1,-2.494521439E-1,-2.641193151E0,-1.863353252E-1
1.008317708E0,-2.579620183E-1,-2.089984417E0,-1.134166494E-1
1.018287708E0,-1.165061444E-1,-1.474676132E0,7.216705009E-3
1.028257708E0,4.791076481E-2,-1.010468245E0,1.577739865E-1
1.038227708E0,1.544326544E-1,-7.900989056E-1,3.121684492E-1
1.048197708E0,1.618937701E-1,-6.880489588E-1,4.916082621E-1
1.058168708E0,1.518180668E-1,-7.070798874E-1,6.462144852E-1
1.068138708E0,1.010358483E-1,-9.708105922E-1,6.492920518E-1
1.078108708E0,-3.771598637E-2,-1.288705707E0,4.740624726E-1
1.088078708E0,-1.696646959E-1,-1.193937659E0,2.864574194E-1
1.098048708E0,-2.048516870E-1,-9.649246931E-1,1.588783264E-1
1.108018708E0,-2.027624398E-1,-7.681865692E-1,9.469322115E-2
1.117989708E0,-2.101750821E-1,-4.842770994E-1,6.027745083E-2
1.127959708E0,-2.111942768E-1,-2.932277918E-1,-3.863820806E-2
1.137929708E0,-1.434727758E-1,-2.595641315E-1,-1.727203131E-1
1.147899708E0,-2.119054273E-2,-2.767782509E-1,-2.410932332E-1
1.157869708E0,1.043072641E-1,-3.369411826E-1,-2.815073729E-1
1.167839708E0,2.189470232E-1,-2.707749307E-1,-3.037269115E-1
1.177810708E0,2.617821097E-1,-3.612382337E-2,-2.682608068E-1
1.187780708E0,2.647422254E-1,8.359406143E-2,-2.414302379E-1
1.197750708E0,2.733615041E-1,1.038659588E-1,-2.087656707E-1
1.207720708E0,2.786383033E-1,1.127409488E-1,-1.694267839E-1
1.217690708E0,2.572746575E-1,1.066167876E-1,-1.349271685E-1
1.227660708E0,1.620443016E-1,1.475900412E-1,-5.769841745E-2
1.237631708E0,8.585254848E-2,2.721597254E-1,6.365278363E-2
1.247601708E0,5.277635157E-2,3.809325397E-1,1.270181686E-1
1.257571708E0,1.559893191E-1,3.456781507E-1,5.642891675E-2
