"Time (s)","Distance (cm)"
3.759374842E-3,5.000000000E0
2.993874997E-2,0.000000000E0
2.996358322E-2,5.000000000E0
5.946944542E0,0.000000000E0
6.763681750E0,5.000000000E0
6.951763500E0,0.000000000E0
8.151857458E0,5.000000000E0
8.272674333E0,0.000000000E0
8.467851750E0,5.000000000E0
1.001797837E1,0.000000000E0
1.155139438E1,5.000000000E0
1.846559200E1,0.000000000E0
1.846560413E1,5.000000000E0
2.054772104E1,0.000000000E0
2.424791792E1,5.000000000E0
2.429794871E1,0.000000000E0
2.443950200E1,5.000000000E0
2.503532896E1,0.000000000E0
2.615202996E1,5.000000000E0
2.616881583E1,0.000000000E0
2.660332287E1,5.000000000E0
2.742008933E1,0.000000000E0
3.780402629E1,5.000000000E0
3.845957287E1,0.000000000E0
4.164308608E1,5.000000000E0
4.216689658E1,0.000000000E0
4.415045758E1,5.000000000E0
4.440086296E1,0.000000000E0
4.821782146E1,5.000000000E0
