"Time (s)","X (hPa)"
-5.262492918E-1,1.025150299E3
4.973907082E-1,1.025271301E3
1.521203708E0,1.025202713E3
2.544886708E0,1.025202713E3
3.568572708E0,1.025055389E3
4.592240708E0,1.025055389E3
4.742905708E0,1.025167923E3
5.690653708E0,1.025189285E3
6.638328708E0,1.025189285E3
7.586070708E0,1.025189285E3
8.533905708E0,1.025175934E3
9.481856708E0,1.024997025E3
1.042973071E1,1.024990997E3
1.137756871E1,1.024990997E3
1.232543471E1,1.024995956E3
1.327330471E1,1.025053635E3
1.422095171E1,1.025217133E3
1.516866471E1,1.025274429E3
1.611635271E1,1.025506363E3
1.706405971E1,1.025506363E3
1.801182571E1,1.025452957E3
1.895971771E1,1.025452957E3
1.990762171E1,1.025412445E3
2.085545571E1,1.025108566E3
2.180332071E1,1.025056229E3
2.275130271E1,1.025046310E3
2.369944671E1,1.024937439E3
2.464760871E1,1.024937439E3
2.559574471E1,1.024937439E3
2.654399971E1,1.024972763E3
2.749218371E1,1.024972763E3
2.844044271E1,1.025011139E3
2.938859871E1,1.025011139E3
3.033680871E1,1.025011139E3
3.128502671E1,1.025113068E3
3.223326771E1,1.025113068E3
3.318147371E1,1.025108109E3
3.412963871E1,1.025098267E3
3.507789871E1,1.025098267E3
3.602624871E1,1.025098267E3
3.697466371E1,1.025102310E3
3.792304471E1,1.025116882E3
3.887131371E1,1.025139923E3
3.981951371E1,1.025187454E3
4.076774971E1,1.025187454E3
4.171614871E1,1.025148239E3
4.266455371E1,1.025133591E3
4.361294471E1,1.025131912E3
