"Time (s)","Distance (cm)"
3.318916773E-3,5.000000000E0
2.878291672E-2,0.000000000E0
4.535941663E-2,5.000000000E0
2.062191208E0,0.000000000E0
1.602973950E1,5.000000000E0
1.607975750E1,0.000000000E0
1.609643663E1,5.000000000E0
1.629995912E1,0.000000000E0
1.696666958E1,5.000000000E0
1.721666400E1,0.000000000E0
1.750955696E1,5.000000000E0
1.765969192E1,0.000000000E0
1.845962692E1,5.000000000E0
1.871129183E1,0.000000000E0
1.871130425E1,5.000000000E0
2.492627642E1,0.000000000E0
2.504296404E1,5.000000000E0
2.524299629E1,0.000000000E0
2.567640446E1,5.000000000E0
2.632642117E1,0.000000000E0
2.689306104E1,5.000000000E0
2.755921542E1,0.000000000E0
3.557613813E1,5.000000000E0
3.574281187E1,0.000000000E0
3.646119579E1,5.000000000E0
3.691435296E1,0.000000000E0
3.969813467E1,5.000000000E0
3.982249708E1,0.000000000E0
4.484671450E1,5.000000000E0
