"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.750066273511470E9,"2025-06-16 11:31:13.511 UTC+02:00"
"PAUSE",4.940882183331996E1,1.750066322919849E9,"2025-06-16 11:32:02.920 UTC+02:00"
