"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.586179156E-2,1.971385193E1,-5.297790527E0,-3.912039185E1
2.583179157E-2,1.973782349E1,-5.282440186E0,-3.891537476E1
3.580179159E-2,1.964474487E1,-5.289215088E0,-3.870755005E1
4.577279161E-2,1.943565369E1,-5.434532166E0,-3.864318848E1
5.574279162E-2,1.957766724E1,-5.225990295E0,-3.833599854E1
6.571279163E-2,1.958074951E1,-5.571166992E0,-3.816229248E1
7.568379166E-2,1.954812622E1,-5.610092163E0,-3.836837769E1
8.565379167E-2,1.954264832E1,-5.664672852E0,-3.890759277E1
9.562479146E-2,1.950881958E1,-5.832275391E0,-3.914514160E1
1.055947915E-1,1.942974854E1,-5.450149536E0,-3.873663330E1
1.155647915E-1,1.967327881E1,-5.662605286E0,-3.855862427E1
1.255357915E-1,1.956640625E1,-5.532272339E0,-3.875204468E1
1.355057915E-1,1.938897705E1,-5.494232178E0,-3.856225586E1
1.454757915E-1,1.943650818E1,-5.637611389E0,-3.829946899E1
1.554467916E-1,1.961131287E1,-5.571838379E0,-3.846160889E1
1.654167916E-1,1.944215393E1,-5.549209595E0,-3.829342651E1
1.753877916E-1,1.925799561E1,-5.330047607E0,-3.803210449E1
1.853577916E-1,1.930108643E1,-5.305511475E0,-3.835061646E1
1.953277916E-1,1.927735901E1,-5.602249146E0,-3.854617310E1
2.052987916E-1,1.928385925E1,-5.505477905E0,-3.869772339E1
2.152687917E-1,1.931433105E1,-5.510604858E0,-3.896887207E1
2.252387917E-1,1.915409851E1,-5.541900635E0,-3.904409790E1
2.352097915E-1,1.920996094E1,-5.551307678E0,-3.895230103E1
2.451797915E-1,1.923771667E1,-5.665351868E0,-3.863052368E1
2.551507915E-1,1.913061523E1,-5.750183105E0,-3.856790161E1
2.651207915E-1,1.899714661E1,-5.784065247E0,-3.863635254E1
2.750907915E-1,1.914033508E1,-5.609642029E0,-3.866238403E1
2.850617915E-1,1.905111694E1,-5.742286682E0,-3.899877930E1
2.950317916E-1,1.893037415E1,-5.513153076E0,-3.900137329E1
3.050017916E-1,1.904034424E1,-5.551391602E0,-3.899487305E1
3.149727916E-1,1.913800049E1,-5.678215027E0,-3.905154419E1
3.249427916E-1,1.912826538E1,-5.750343323E0,-3.912695312E1
3.349137916E-1,1.901281738E1,-6.077362061E0,-3.867776489E1
3.448837916E-1,1.882597351E1,-6.026473999E0,-3.872344971E1
3.548537917E-1,1.918696594E1,-5.899414062E0,-3.854461670E1
3.648247914E-1,1.893556213E1,-5.967834473E0,-3.839413452E1
3.747947915E-1,1.892794800E1,-5.991584778E0,-3.826187134E1
3.847647915E-1,1.888040161E1,-5.985664368E0,-3.849856567E1
3.947357915E-1,1.883781433E1,-6.005233765E0,-3.887847900E1
4.047057915E-1,1.885636902E1,-5.977432251E0,-3.870501709E1
4.146767915E-1,1.882992554E1,-6.365921021E0,-3.854803467E1
4.246467915E-1,1.865538025E1,-6.433723450E0,-3.837020874E1
4.346167916E-1,1.849197388E1,-6.484565735E0,-3.844869995E1
4.445877916E-1,1.802516174E1,-6.313667297E0,-3.825061035E1
4.545577916E-1,1.788087463E1,-6.488601685E0,-3.869018555E1
4.645277916E-1,1.773309326E1,-6.702651978E0,-3.887509155E1
4.744987916E-1,1.740467834E1,-7.141090393E0,-3.927197266E1
4.844687916E-1,1.704037476E1,-7.110977173E0,-3.950747681E1
4.944397917E-1,1.695381165E1,-7.177925110E0,-3.904000854E1
5.044097917E-1,1.674269104E1,-7.237709045E0,-3.924090576E1
5.143797914E-1,1.642460632E1,-7.340423584E0,-3.935842896E1
5.243507915E-1,1.614057922E1,-7.357421875E0,-3.915103149E1
5.343207915E-1,1.618544006E1,-7.683387756E0,-3.934829712E1
5.442907915E-1,1.588459778E1,-7.734107971E0,-3.895986938E1
5.542617915E-1,1.563284302E1,-7.674224854E0,-3.969076538E1
5.642317915E-1,1.562110901E1,-7.983886719E0,-3.959933472E1
5.742027916E-1,1.538899231E1,-7.893165588E0,-3.946621704E1
5.841727916E-1,1.529203796E1,-8.092300415E0,-3.957952881E1
5.941427916E-1,1.505743408E1,-8.174987793E0,-3.913113403E1
6.041137916E-1,1.485888672E1,-8.497055054E0,-3.928924561E1
6.140837916E-1,1.486590576E1,-8.571205139E0,-3.908129883E1
6.240537916E-1,1.487095642E1,-8.650558472E0,-3.903308105E1
6.340247917E-1,1.467385864E1,-8.855186462E0,-3.929394531E1
6.439947917E-1,1.448867798E1,-8.742057800E0,-3.976623535E1
6.539657915E-1,1.428976440E1,-8.986381531E0,-4.006823730E1
6.639357915E-1,1.429951477E1,-9.156021118E0,-3.967114258E1
6.739057915E-1,1.391680908E1,-9.329147339E0,-3.977273560E1
6.838767915E-1,1.377030945E1,-9.081298828E0,-3.930749512E1
6.938467915E-1,1.365243530E1,-9.263290405E0,-3.945294189E1
7.038167915E-1,1.323799133E1,-9.469184875E0,-3.948559570E1
7.137877916E-1,1.294540405E1,-9.246467590E0,-3.988006592E1
7.237577916E-1,1.283700562E1,-9.232536316E0,-3.996118164E1
7.337287916E-1,1.277693176E1,-9.584159851E0,-3.983212280E1
7.436987916E-1,1.235119629E1,-9.533546448E0,-3.961254883E1
7.536687916E-1,1.206965637E1,-9.619682312E0,-3.959848022E1
7.636397916E-1,1.181987000E1,-9.671737671E0,-3.986581421E1
