"Time (s)","Distance (cm)"
4.698041594E-3,5.000000000E0
2.840508334E-2,0.000000000E0
4.505475005E-2,5.000000000E0
1.011953000E0,0.000000000E0
1.128474417E0,5.000000000E0
1.245252833E0,0.000000000E0
1.361933458E0,5.000000000E0
3.912001708E0,0.000000000E0
4.145349375E0,5.000000000E0
4.245397583E0,0.000000000E0
2.175068325E1,5.000000000E0
2.181317025E1,0.000000000E0
2.203532729E1,5.000000000E0
2.243544167E1,0.000000000E0
3.118591350E1,5.000000000E0
3.235329567E1,0.000000000E0
3.502273696E1,5.000000000E0
4.638123042E1,0.000000000E0
6.198212150E1,5.000000000E0
6.239811533E1,0.000000000E0
6.383153229E1,5.000000000E0
6.397187983E1,0.000000000E0
6.431451783E1,5.000000000E0
6.458124175E1,0.000000000E0
7.065454858E1,5.000000000E0
7.111865750E1,0.000000000E0
7.235202121E1,5.000000000E0
7.264994763E1,0.000000000E0
7.276666933E1,5.000000000E0
