"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.480600357E-2,5.238129865E1,4.860444602E0,-2.112341642E0,NaN,NaN,2.616644180E1,2.976724243E1
4.765819311E-1,5.238129865E1,4.860444602E0,1.990677834E0,NaN,NaN,2.616644180E1,2.129394150E1
6.950326920E0,5.238129865E1,4.860444602E0,1.961008072E0,NaN,NaN,2.616644180E1,2.101906776E1
1.094828093E1,5.238129865E1,4.860444602E0,1.962000608E0,NaN,NaN,2.616644180E1,1.982460785E1
1.340608466E1,5.238116349E1,4.860341437E0,5.683803558E0,0.000000000E0,NaN,2.238018093E1,3.000000000E0
1.440605366E1,5.238116265E1,4.860340767E0,5.841213226E0,0.000000000E0,NaN,1.608478717E1,3.000000000E0
1.540603781E1,5.238116156E1,4.860338587E0,5.669765472E0,0.000000000E0,NaN,8.193969238E0,3.000000000E0
1.640602791E1,5.238116315E1,4.860335151E0,5.194484711E0,0.000000000E0,NaN,9.043575970E0,3.000000000E0
1.740599656E1,5.238116479E1,4.860332720E0,5.115077972E0,0.000000000E0,NaN,9.485559042E0,3.000000000E0
1.840598190E1,5.238116479E1,4.860332720E0,5.115078039E0,0.000000000E0,NaN,9.485559042E0,3.000000000E0
1.940596783E1,5.238116608E1,4.860329032E0,5.061977454E0,0.000000000E0,NaN,9.090947723E0,3.000000000E0
2.040594018E1,5.238116621E1,4.860324925E0,4.916408606E0,0.000000000E0,NaN,8.905669309E0,3.000000000E0
2.140593433E1,5.238116596E1,4.860322578E0,4.907009192E0,0.000000000E0,NaN,7.663303311E0,3.000000000E0
2.240592659E1,5.238116420E1,4.860317297E0,4.350795814E0,6.700000167E-1,NaN,7.808926900E0,3.000000000E0
2.340590489E1,5.238115779E1,4.860313609E0,4.006618567E0,6.600000262E-1,NaN,8.507906281E0,3.000000000E0
2.440590119E1,5.238114194E1,4.860302797E0,3.697109290E0,6.700000167E-1,NaN,9.291305308E0,3.000000000E0
2.540589345E1,5.238111609E1,4.860287323E0,3.310146471E0,9.599999785E-1,2.003906211E2,9.197275329E0,3.000000000E0
2.640586889E1,5.238112736E1,4.860299947E0,3.558559485E0,1.500000060E-1,NaN,7.287832632E0,3.000000000E0
2.740584588E1,5.238112816E1,4.860305814E0,3.966396400E0,3.000000119E-1,NaN,5.546456128E0,3.000000000E0
2.840582359E1,5.238112795E1,4.860308412E0,3.646267005E0,3.000000119E-1,NaN,5.640571676E0,3.000000000E0
2.940580249E1,5.238112786E1,4.860312771E0,3.088832924E0,3.400000036E-1,NaN,5.875062901E0,3.000000000E0
3.040578163E1,5.238113415E1,4.860313861E0,2.664577552E0,3.799999952E-1,NaN,6.192970071E0,3.000000000E0
3.140576160E1,5.238114182E1,4.860314280E0,2.429164954E0,2.300000042E-1,NaN,6.126513978E0,3.000000000E0
3.240574193E1,5.238114467E1,4.860314028E0,2.524379798E0,3.300000131E-1,NaN,6.101274130E0,3.000000000E0
3.340572357E1,5.238115330E1,4.860317046E0,2.014431068E0,0.000000000E0,NaN,6.638884865E0,4.000000000E0
3.440570414E1,5.238116462E1,4.860319225E0,1.314052649E0,3.300000131E-1,NaN,6.258210243E0,4.000000000E0
3.540568650E1,5.238117795E1,4.860327775E0,8.333397591E-1,3.899999857E-1,NaN,5.822190975E0,4.000000000E0
3.640566897E1,5.238119131E1,4.860338336E0,7.817650530E-1,4.399999976E-1,NaN,5.611641488E0,4.000000000E0
3.740565312E1,5.238120686E1,4.860349316E0,1.112209387E0,5.600000024E-1,NaN,5.628945138E0,4.000000000E0
3.840563548E1,5.238120920E1,4.860360561E0,2.406838257E-1,3.445380415E-1,NaN,1.308406948E1,1.350747269E0
3.940561855E1,5.238121668E1,4.860367892E0,-4.923063451E-1,3.002155193E-1,NaN,1.371114577E1,1.301908921E0
4.040560317E1,5.238121215E1,4.860344314E0,-4.098610589E-1,4.486009683E-1,NaN,1.385083762E1,1.237756305E0
4.140558767E1,5.238120955E1,4.860310712E0,-4.015617594E-1,5.218644045E-1,NaN,1.369987327E1,1.280368653E0
4.240557146E1,5.238122512E1,4.860325069E0,1.974394172E-1,2.481557157E-2,2.265908781E2,1.319398030E1,1.660609605E0
4.340555727E1,5.238122864E1,4.860309250E0,3.431194329E0,1.698791348E0,2.435829888E2,1.303919455E1,1.486378850E0
4.440554202E1,5.238121312E1,4.860288175E0,3.807887859E0,1.045562147E0,2.422233652E2,1.383816297E1,1.568222795E0
4.540552700E1,5.238120949E1,4.860284551E0,3.547059299E0,9.881229559E-1,2.380804992E2,1.492362900E1,1.664779634E0
4.640551341E1,5.238120866E1,4.860264944E0,9.885249417E-1,9.720987229E-1,2.359096272E2,1.611130583E1,1.796157250E0
4.740549910E1,5.238121181E1,4.860259344E0,9.416119885E-1,5.262389410E-1,2.326242431E2,1.652358007E1,1.910914975E0
4.840548563E1,5.238118796E1,4.860223274E0,5.682201358E0,2.948929563E0,2.293551554E2,1.774917319E1,1.661161760E0
4.940547180E1,5.238115697E1,4.860245809E0,5.796374252E0,2.119536697E0,2.104187430E2,1.751065106E1,1.881796481E0
5.040545774E1,5.238121401E1,4.860306371E0,3.535764075E0,6.461063386E-1,NaN,1.191234611E1,2.033882309E0
5.140544450E1,5.238122945E1,4.860317930E0,1.720437773E0,1.666027376E-1,NaN,1.094426982E1,2.097220410E0
5.240543139E1,5.238123438E1,4.860349817E0,2.462983392E-1,9.636170041E-2,NaN,1.058230779E1,1.689574169E0
5.340541887E1,5.238121443E1,4.860348958E0,-4.697722616E-1,1.769849229E-1,NaN,9.916788571E0,1.802327982E0
5.440540564E1,5.238121280E1,4.860338301E0,-3.803357124E0,1.630249227E0,NaN,9.754255709E0,1.777730755E0
5.540539336E1,5.238122915E1,4.860352072E0,1.676288294E-1,1.482917525E-1,NaN,1.005170709E1,1.518901511E0
5.640538049E1,5.238123002E1,4.860358695E0,3.524177623E0,1.347271892E0,2.284523951E1,1.074801765E1,1.456324949E0
5.740536726E1,5.238123656E1,4.860319296E0,4.202383739E0,1.032465268E0,1.006408087E1,9.630799766E0,1.521698345E0
5.840535617E1,5.238123978E1,4.860381514E0,3.823215612E0,6.790443177E-1,5.460674018E1,8.504396553E0,1.662346343E0
5.940534294E1,5.238123317E1,4.860364960E0,2.680591519E0,2.904770528E-1,1.056987377E2,7.770465571E0,1.771905706E0
6.040533078E1,5.238123983E1,4.860353949E0,4.804691803E-1,5.366979104E-1,8.514451201E1,7.368950635E0,1.572529920E0
6.140531886E1,5.238123189E1,4.860349336E0,-2.570552807E-1,5.124796665E-1,NaN,7.292686830E0,1.693582640E0
6.240530705E1,5.238122690E1,4.860345555E0,-1.536790350E0,9.041767341E-1,NaN,7.180288537E0,1.585511441E0
6.340529525E1,5.238122504E1,4.860330442E0,-1.577195613E0,6.723002440E-1,NaN,7.423356434E0,1.614827292E0
6.440528321E1,5.238122613E1,4.860337764E0,-1.323197376E0,4.583739968E-1,NaN,7.986915818E0,1.806509440E0
6.540527129E1,5.238122405E1,4.860331898E0,-9.885232709E-1,3.263956024E-1,NaN,8.296119489E0,1.901930737E0
6.640526044E1,5.238122704E1,4.860350037E0,-3.865286391E-1,9.467887395E-2,NaN,8.991274131E0,1.979749372E0
6.740524805E1,5.238121642E1,4.860345478E0,9.408284919E-1,2.797943057E-1,NaN,8.880224455E0,1.929692100E0
6.840523660E1,5.238120225E1,4.860336541E0,3.595276996E-1,4.183510433E-2,NaN,8.240693607E0,1.970116244E0
6.940522563E1,5.238120296E1,4.860323265E0,1.896458110E-1,2.749822322E-1,NaN,8.191788781E0,1.933348052E0
7.040521407E1,5.238119818E1,4.860310158E0,1.629347885E-1,2.216030446E-1,NaN,7.899068463E0,1.937541914E0
7.140520167E1,5.238118155E1,4.860317544E0,-5.507650245E-1,4.804382958E-1,NaN,7.136446669E0,2.022975975E0
7.240519023E1,5.238117582E1,4.860313991E0,2.662205491E-1,2.483485136E-1,NaN,7.257747623E0,1.985647693E0
7.340517998E1,5.238116703E1,4.860322495E0,-1.657542990E0,1.034420840E0,NaN,7.722477335E0,1.810612631E0
