"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749469543805110E9,"2025-06-09 13:45:43.805 UTC+02:00"
"PAUSE",4.158622750011273E1,1.749469585390934E9,"2025-06-09 13:46:25.391 UTC+02:00"
