"Time (s)","Distance (cm)"
2.540749963E-3,5.000000000E0
2.871283330E-2,0.000000000E0
4.533691681E-2,5.000000000E0
2.112092583E0,0.000000000E0
2.128789750E0,5.000000000E0
2.412192208E0,0.000000000E0
2.528789958E0,5.000000000E0
2.712190500E0,0.000000000E0
2.945486417E0,5.000000000E0
3.128892958E0,0.000000000E0
4.478919250E0,5.000000000E0
4.764426042E0,0.000000000E0
8.362266042E0,5.000000000E0
8.827380625E0,0.000000000E0
8.944073083E0,5.000000000E0
1.041086683E1,0.000000000E0
1.064419817E1,5.000000000E0
1.176089162E1,0.000000000E0
1.187762721E1,5.000000000E0
1.222760417E1,0.000000000E0
1.246098713E1,5.000000000E0
1.277762942E1,0.000000000E0
1.354446117E1,5.000000000E0
1.377536883E1,0.000000000E0
1.402153858E1,5.000000000E0
1.410491792E1,0.000000000E0
1.422157021E1,5.000000000E0
1.558828637E1,0.000000000E0
1.570500237E1,5.000000000E0
1.607171383E1,0.000000000E0
1.640502346E1,5.000000000E0
1.653841262E1,0.000000000E0
1.677172500E1,5.000000000E0
1.700509946E1,0.000000000E0
1.702222058E1,5.000000000E0
1.792192879E1,0.000000000E0
1.950525675E1,5.000000000E0
2.890085912E1,0.000000000E0
2.911745017E1,5.000000000E0
3.360108008E1,0.000000000E0
3.361767917E1,5.000000000E0
3.475107646E1,0.000000000E0
3.508455533E1,5.000000000E0
3.665123446E1,0.000000000E0
3.676786204E1,5.000000000E0
3.703454708E1,0.000000000E0
3.815133871E1,5.000000000E0
3.828466796E1,0.000000000E0
3.837628133E1,5.000000000E0
3.847616042E1,0.000000000E0
3.880945792E1,5.000000000E0
3.899303442E1,0.000000000E0
4.032627667E1,5.000000000E0
