"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.049145848E-2,-5.407034233E-2,4.782086611E-2,7.319451869E-2
3.046245826E-2,-3.122548014E-2,-1.446487568E-2,7.376256585E-2
4.043345829E-2,-7.963546552E-3,-4.204413295E-2,4.979988560E-2
5.040445831E-2,-9.618297918E-4,-5.816344917E-2,2.452249080E-2
6.037645834E-2,2.234340645E-3,-7.616542280E-2,3.193034604E-2
7.034745836E-2,1.336874999E-2,-8.652804792E-2,6.618632376E-2
8.031845838E-2,1.963208243E-2,-7.147039473E-2,7.379613817E-2
9.028945840E-2,1.025136281E-2,-5.797482282E-2,6.072108448E-2
1.002604584E-1,-3.856575117E-3,-3.714078665E-2,3.069357760E-2
1.102314584E-1,-1.605731621E-2,-8.144730236E-4,1.147034578E-2
1.202024585E-1,-1.893707365E-2,3.332553431E-2,1.192110032E-2
1.301734585E-1,-1.490211766E-2,4.022844881E-2,1.610545814E-2
1.401444583E-1,-8.421019651E-3,2.329961024E-2,2.213554084E-2
1.501154583E-1,1.716036582E-3,-4.913918674E-3,2.504264750E-2
1.600864583E-1,1.080465596E-2,-3.195220977E-2,2.340646461E-2
1.700574583E-1,1.606732979E-2,-4.762304574E-2,2.533672377E-2
1.800284584E-1,2.227686159E-2,-4.735265300E-2,2.946801670E-2
1.899994584E-1,1.817266271E-2,-4.623146355E-2,3.189282119E-2
1.999704584E-1,1.400822867E-2,-3.554764390E-2,3.094148077E-2
2.099424584E-1,5.048555322E-3,-2.490272187E-2,3.685183451E-2
2.199134585E-1,3.705125302E-3,-1.673224941E-2,5.126840621E-2
2.298844585E-1,2.331999363E-3,-2.065508626E-2,6.199562177E-2
2.398554585E-1,-1.748767099E-3,-4.132053256E-2,7.126015425E-2
2.498264583E-1,-4.750948399E-3,-8.299527317E-2,7.864642888E-2
2.597974583E-1,8.534865920E-4,-1.214107797E-1,8.786757290E-2
2.697684583E-1,-6.757295225E-3,-1.581418812E-1,9.621898085E-2
2.797394583E-1,-1.604629308E-2,-1.770600528E-1,1.117586270E-1
2.897104584E-1,-4.070955887E-2,-1.955245435E-1,1.261487454E-1
2.996814584E-1,-7.165450603E-2,-2.338053584E-1,1.339778602E-1
3.096524584E-1,-8.592744917E-2,-2.978884578E-1,1.492372453E-1
3.196234584E-1,-8.575498313E-2,-3.757445216E-1,1.808656454E-1
3.295944585E-1,-7.760704309E-2,-4.769941866E-1,2.226205468E-1
3.395654585E-1,-8.197633177E-2,-5.996400714E-1,2.632818818E-1
3.495374583E-1,-8.204157650E-2,-7.259019017E-1,3.001155257E-1
3.595084583E-1,-8.411588520E-2,-8.517313600E-1,3.240239024E-1
3.694794583E-1,-8.371295035E-2,-9.748184085E-1,3.549762368E-1
3.794504583E-1,-6.553818285E-2,-1.082493901E0,3.901976049E-1
3.894214584E-1,-3.460983187E-2,-1.161631346E0,4.361363351E-1
3.993924584E-1,1.459036488E-3,-1.239810109E0,4.851491749E-1
4.093630000E-1,1.721696183E-2,-1.332522154E0,5.432987213E-1
4.193340000E-1,6.702457555E-3,-1.389418721E0,5.954476595E-1
4.293050000E-1,-3.908633813E-2,-1.420664787E0,6.443377137E-1
4.392760000E-1,-8.391484618E-2,-1.425987005E0,6.875907183E-1
4.492470000E-1,-1.195527315E-1,-1.436367512E0,7.311611176E-1
4.592180001E-1,-1.314714700E-1,-1.453099847E0,7.667383552E-1
4.691890001E-1,-1.200300008E-1,-1.453630328E0,8.032313585E-1
4.791600001E-1,-8.936854452E-2,-1.439708948E0,8.256999850E-1
4.891310001E-1,-5.819891393E-2,-1.408456206E0,8.465107679E-1
4.991030002E-1,-2.235486731E-2,-1.360068679E0,8.596315980E-1
5.090739999E-1,1.338022668E-2,-1.272136211E0,8.577199578E-1
5.190450000E-1,4.857477918E-2,-1.191265464E0,8.766098619E-1
5.290160000E-1,8.145815879E-2,-1.104490280E0,8.980603218E-1
5.389870000E-1,1.144215986E-1,-1.027285695E0,8.967810869E-1
5.489580000E-1,1.371309012E-1,-9.585725069E-1,8.905367851E-1
5.589290000E-1,1.462446004E-1,-9.041919112E-1,8.746803999E-1
5.689000001E-1,1.674582809E-1,-8.738928437E-1,8.575749397E-1
5.788710001E-1,2.049414814E-1,-8.736230731E-1,8.538121581E-1
5.888420001E-1,2.393852025E-1,-8.722028136E-1,8.481729031E-1
5.988130001E-1,2.635745108E-1,-8.749567270E-1,8.362131119E-1
6.087840002E-1,2.858816683E-1,-8.793203235E-1,8.138092756E-1
6.187549999E-1,3.694247305E-1,-9.201282859E-1,7.750180960E-1
6.287260000E-1,4.644473791E-1,-9.763271213E-1,7.471134663E-1
6.386970000E-1,5.756533146E-1,-1.022289515E0,7.252064347E-1
6.486680000E-1,6.656354070E-1,-1.096875310E0,7.101566195E-1
6.586400000E-1,7.366265059E-1,-1.255093694E0,7.431943417E-1
6.686110001E-1,8.026401401E-1,-1.412714243E0,7.056088448E-1
6.785820001E-1,8.412652016E-1,-1.565286875E0,6.094506383E-1
6.885530001E-1,8.799715638E-1,-1.711561799E0,4.943469465E-1
6.985240001E-1,9.124959707E-1,-1.849287987E0,3.955842257E-1
7.084950001E-1,9.559515715E-1,-1.877503633E0,3.288749754E-1
7.184659999E-1,9.724441171E-1,-1.819986105E0,2.663449347E-1
7.284370000E-1,9.884968400E-1,-1.721910477E0,2.051753253E-1
7.384080000E-1,9.914197326E-1,-1.590278387E0,1.402969360E-1
7.483790000E-1,9.953537583E-1,-1.409545064E0,7.629212737E-2
7.583500000E-1,1.009733558E0,-1.195795536E0,9.099083953E-3
7.683210000E-1,1.035501480E0,-9.724151492E-1,-5.312434211E-2
7.782920001E-1,1.066664696E0,-7.757225633E-1,-1.059642807E-1
7.882630001E-1,1.098384023E0,-5.874285698E-1,-1.600272506E-1
7.982340001E-1,1.123815298E0,-4.259932339E-1,-2.226624489E-1
8.082050001E-1,1.122078419E0,-3.103380203E-1,-2.793326378E-1
8.181770002E-1,1.129386187E0,-2.305195034E-1,-3.339765370E-1
8.281479999E-1,1.160859704E0,-1.654720604E-1,-3.849577010E-1
8.381190000E-1,1.195334554E0,-1.169518679E-1,-4.395746589E-1
8.480900000E-1,1.246147871E0,-7.496553659E-2,-4.858345687E-1
8.580610000E-1,1.310497642E0,-6.600522995E-2,-5.229114294E-1
8.680320000E-1,1.371253133E0,-5.819257721E-2,-5.630410314E-1
8.780030000E-1,1.403789997E0,-5.486923829E-2,-6.149907112E-1
8.879740001E-1,1.438393474E0,-5.392195284E-2,-6.909750104E-1
8.979450001E-1,1.469127655E0,-5.664116517E-2,-7.762117982E-1
9.079160001E-1,1.477427363E0,-5.474685878E-2,-8.407872915E-1
9.178870001E-1,1.454220414E0,-1.408661809E-2,-8.936746716E-1
9.278580002E-1,1.435506344E0,7.647977024E-2,-9.369502068E-1
9.378289999E-1,1.423900008E0,1.745020747E-1,-9.558086991E-1
9.478000000E-1,1.404253364E0,2.692539096E-1,-9.604849219E-1
9.577710000E-1,1.383197069E0,3.564093709E-1,-9.720292687E-1
9.677420000E-1,1.353124142E0,4.212139249E-1,-9.780434966E-1
9.777140000E-1,1.311100245E0,4.509565830E-1,-9.760367870E-1
9.876850001E-1,1.283207893E0,4.707806408E-1,-9.761211872E-1
9.976560001E-1,1.282061338E0,4.912121892E-1,-9.899260402E-1
1.007627000E0,1.280092478E0,5.128871202E-1,-9.929702878E-1
1.017598000E0,1.272980690E0,5.485378504E-1,-9.927186370E-1
1.027569000E0,1.294776559E0,6.243023872E-1,-1.000411510E0
1.037540000E0,1.324766994E0,6.931510568E-1,-1.011429310E0
1.047511000E0,1.335368276E0,7.579122186E-1,-1.030204058E0
1.057482000E0,1.330023527E0,7.992880940E-1,-1.037696600E0
1.067453000E0,1.347496033E0,8.286513090E-1,-1.028107047E0
1.077424000E0,1.363662004E0,8.332167864E-1,-1.025789618E0
1.087395000E0,1.379024506E0,8.199779391E-1,-1.025390983E0
1.097366000E0,1.377556801E0,7.803531289E-1,-1.009795308E0
1.107337000E0,1.363010406E0,7.032477260E-1,-9.877158403E-1
1.117308000E0,1.360362291E0,6.137837172E-1,-9.563777447E-1
1.127279000E0,1.348804951E0,5.229063034E-1,-9.354321957E-1
1.137250000E0,1.342116952E0,4.897864461E-1,-9.365640879E-1
1.147221000E0,1.317777514E0,4.929308593E-1,-9.360527992E-1
1.157193000E0,1.295341849E0,4.919223785E-1,-9.242017269E-1
1.167164000E0,1.229206204E0,5.090840459E-1,-8.997064829E-1
