"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749468692997465E9,"2025-06-09 13:31:32.997 UTC+02:00"
"PAUSE",5.426714416663162E1,1.749468747264024E9,"2025-06-09 13:32:27.264 UTC+02:00"
