"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.991920000E-1,7.331753540E-1,-1.700463867E0,1.007569748E1
9.091630001E-1,9.517208862E-1,-1.516795807E0,9.971663818E0
9.191340001E-1,1.116079102E0,-1.238674164E0,9.896969147E0
9.291050001E-1,1.062640228E0,-9.258247375E-1,9.862840118E0
9.390760001E-1,9.675878906E-1,-6.249504089E-1,9.686955872E0
9.490470001E-1,8.467890930E-1,-3.719764709E-1,9.571246490E0
9.590179999E-1,6.137237549E-1,-1.242416382E-1,9.545050964E0
9.689890000E-1,3.577560425E-1,-2.933898926E-2,9.459728394E0
9.789600000E-1,1.725910950E-1,1.284329224E-1,9.539362793E0
9.889310000E-1,-7.334747314E-3,2.317181396E-1,9.614955597E0
9.989020000E-1,-1.504371643E-1,2.965333557E-1,9.679920502E0
1.008873000E0,-1.691482544E-1,3.887416077E-1,9.798623657E0
1.018844000E0,-1.049317932E-1,5.803431702E-1,9.834099884E0
1.028816000E0,-1.167572021E-2,6.459068298E-1,9.784852295E0
1.038787000E0,5.792953491E-2,5.840853882E-1,9.602830811E0
1.048758000E0,2.634521484E-2,5.767506409E-1,9.475894775E0
1.058729000E0,-3.532653809E-2,5.662724304E-1,9.328900452E0
1.068700000E0,-7.155120850E-2,5.993536377E-1,9.342522125E0
1.078671000E0,-1.901046753E-1,6.179150391E-1,9.332343292E0
1.088642000E0,-5.307962036E-1,6.691085815E-1,9.278904419E0
1.098613000E0,-8.937913513E-1,7.991880798E-1,9.253756714E0
1.108584000E0,-1.233435059E0,1.006506958E0,9.362131348E0
1.118555000E0,-1.460662537E0,1.253044281E0,9.243727570E0
1.128526000E0,-1.608854370E0,1.636696472E0,9.168134766E0
1.138497000E0,-1.684297485E0,2.005529480E0,8.909173279E0
1.148468000E0,-1.610201569E0,2.137554932E0,8.673114166E0
1.158439000E0,-1.389560394E0,2.214345245E0,8.425379333E0
1.168410000E0,-1.293759613E0,2.148631897E0,8.050409088E0
1.178381000E0,-1.423689423E0,2.104473724E0,7.711364136E0
1.188352000E0,-1.649120636E0,2.277813263E0,7.656128998E0
1.198324000E0,-1.923350372E0,2.510130157E0,7.113657074E0
1.208295000E0,-2.501897278E0,2.817740479E0,6.770121460E0
1.218266000E0,-3.291804657E0,3.052452393E0,6.478527832E0
1.228237000E0,-3.766168213E0,3.065026245E0,6.609804840E0
1.238208000E0,-3.909570007E0,2.921025696E0,7.164401550E0
1.248179000E0,-3.636088715E0,2.441722412E0,7.686665497E0
1.258150000E0,-3.416345673E0,2.142644348E0,8.045619049E0
1.268121000E0,-3.301983490E0,2.265987854E0,8.191415863E0
1.278092000E0,-3.132236481E0,2.305056610E0,8.512498169E0
1.288063000E0,-2.900817719E0,2.553390198E0,8.681646423E0
1.298034000E0,-2.441273346E0,2.994672546E0,8.407566376E0
1.308005000E0,-1.912572784E0,3.481609955E0,8.180338898E0
1.317976000E0,-1.361568604E0,4.010759583E0,8.054151306E0
1.327947000E0,-9.258247375E-1,4.237388306E0,7.999215546E0
1.337918000E0,-5.122348022E-1,4.164639587E0,7.787106628E0
1.347889000E0,-1.794767761E-1,3.600762177E0,7.685168610E0
1.357860000E0,8.936416626E-2,3.134032745E0,7.761360168E0
1.367831000E0,2.149530029E-1,3.024161224E0,7.946375427E0
1.377803000E0,1.263372803E-1,3.043620758E0,8.057444458E0
1.387774000E0,-3.496728516E-1,2.984493713E0,8.077353058E0
1.397745000E0,-1.182690582E0,3.030448151E0,7.923772430E0
1.407715875E0,-2.020947418E0,3.063978424E0,7.832911377E0
1.417686875E0,-2.624043274E0,2.657124481E0,7.981402588E0
1.427657875E0,-2.934347992E0,2.153122559E0,8.445737000E0
1.437628875E0,-2.924318848E0,1.950593719E0,8.995094604E0
1.447599875E0,-2.540367279E0,2.072440338E0,9.560917969E0
1.457570875E0,-1.856289825E0,2.442770233E0,1.013856674E1
1.467541875E0,-1.051712952E0,2.761906586E0,1.044767395E1
1.477512875E0,-5.959107971E-1,2.857857056E0,1.051982391E1
1.487483875E0,-6.695576477E-1,2.975063324E0,1.048823959E1
1.497454875E0,-1.013692017E0,3.275488586E0,1.019739441E1
1.507425875E0,-1.213676147E0,3.543730774E0,9.850565643E0
1.517396875E0,-1.195414124E0,3.567381592E0,9.691446533E0
1.527367875E0,-1.122066650E0,3.565285950E0,9.420959015E0
1.537338875E0,-1.173110504E0,3.684887238E0,9.361981659E0
1.547309875E0,-1.282832336E0,3.654650116E0,9.499096527E0
1.557280875E0,-1.232387238E0,3.772604828E0,9.576934662E0
1.567252875E0,-1.082698517E0,3.680695953E0,9.513167267E0
1.577223875E0,-9.996212769E-1,3.592978363E0,9.540260925E0
1.587194875E0,-8.970845032E-1,3.472928009E0,9.538314972E0
1.597165875E0,-8.294252014E-1,3.274740143E0,9.588311005E0
1.607136875E0,-8.319699097E-1,3.030597839E0,9.537267151E0
1.617107875E0,-7.490423584E-1,2.753374329E0,9.338330841E0
1.627078875E0,-4.261637878E-1,2.650238800E0,9.125922546E0
1.637049875E0,-1.441502380E-1,2.831062775E0,8.857081604E0
1.647020875E0,4.805007935E-2,3.169658661E0,8.487799530E0
1.656991875E0,5.822891235E-2,3.491938477E0,8.017926636E0
1.666962875E0,1.145118713E-1,3.560346222E0,7.560028839E0
1.676933875E0,-3.872447205E-1,3.352727966E0,7.581733704E0
1.686904875E0,-6.135740662E-1,2.933749237E0,7.924969940E0
1.696875875E0,-6.222560120E-1,2.796334991E0,8.165370026E0
1.706846875E0,-4.447251892E-1,2.760559387E0,8.490493927E0
