"Time (s)","X (hPa)"
-5.506891666E-1,1.019654922E3
4.733138334E-1,1.019765015E3
1.497318833E0,1.019735260E3
2.521396833E0,1.019746323E3
3.545636833E0,1.019746323E3
4.569953833E0,1.019811935E3
4.720461833E0,1.019811935E3
5.668943833E0,1.019800491E3
6.617461833E0,1.019789352E3
7.566011833E0,1.019787216E3
8.514580833E0,1.019766312E3
9.463056833E0,1.019757996E3
1.041154483E1,1.019725723E3
1.136024683E1,1.019725723E3
1.230892183E1,1.019724884E3
1.325757083E1,1.019724884E3
1.420624383E1,1.019716339E3
1.515496183E1,1.019713745E3
1.610376983E1,1.019713745E3
1.705244883E1,1.019708481E3
1.800116883E1,1.019693298E3
1.894969483E1,1.019693298E3
1.989818983E1,1.019714966E3
2.084664583E1,1.019714966E3
2.179529083E1,1.019661636E3
2.274375783E1,1.019656754E3
2.369213383E1,1.019655151E3
2.464047283E1,1.019640656E3
2.558884183E1,1.019636154E3
2.653718683E1,1.019593201E3
2.748541283E1,1.019593201E3
2.843370883E1,1.019573975E3
2.938192683E1,1.019523010E3
3.033014783E1,1.019523010E3
3.127830283E1,1.019595490E3
3.222633683E1,1.019606018E3
3.317426783E1,1.019595490E3
3.412230083E1,1.019590912E3
3.507033683E1,1.019509201E3
3.601847383E1,1.019418640E3
3.696645583E1,1.019418640E3
3.791461183E1,1.019418640E3
3.886289583E1,1.019456558E3
3.981116983E1,1.019594193E3
4.075948783E1,1.019615173E3
4.170800183E1,1.019653168E3
4.265657583E1,1.019653168E3
4.360519383E1,1.019653168E3
4.455381783E1,1.019643860E3
4.550244383E1,1.019643860E3
4.645111983E1,1.019645538E3
4.739990183E1,1.019679871E3
4.834863583E1,1.019694901E3
4.929719683E1,1.019720840E3
5.024582483E1,1.019722366E3
5.119431283E1,1.019734268E3
5.214276983E1,1.019744110E3
5.309113683E1,1.019779587E3
5.403950083E1,1.019786835E3
5.498792983E1,1.019796982E3
5.593637183E1,1.019840317E3
5.688489283E1,1.019840317E3
5.783350483E1,1.019814453E3
5.878219983E1,1.019814453E3
5.973104683E1,1.019814453E3
6.067993383E1,1.019758453E3
6.162885683E1,1.019758453E3
6.257774883E1,1.019794998E3
6.352678983E1,1.019819641E3
6.447588483E1,1.019803009E3
6.542503383E1,1.019803009E3
6.637414083E1,1.019800797E3
6.732334683E1,1.019780579E3
