"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749467719164848E9,"2025-06-09 13:15:19.165 UTC+02:00"
"PAUSE",4.646042050002143E1,1.749467765622357E9,"2025-06-09 13:16:05.622 UTC+02:00"
