"Time (s)","Distance (cm)"
4.135041730E-3,5.000000000E0
3.436841676E-2,0.000000000E0
3.438858339E-2,5.000000000E0
1.796161667E-1,0.000000000E0
4.129363333E-1,5.000000000E0
1.129722625E0,0.000000000E0
7.846786083E0,5.000000000E0
7.996741334E0,0.000000000E0
8.148262292E0,5.000000000E0
8.561197917E0,0.000000000E0
1.121406712E1,5.000000000E0
2.245364746E1,0.000000000E0
3.218742246E1,5.000000000E0
3.250596038E1,0.000000000E0
3.588935446E1,5.000000000E0
3.814316167E1,0.000000000E0
4.293926146E1,5.000000000E0
4.328150892E1,0.000000000E0
4.429824104E1,5.000000000E0
4.551424979E1,0.000000000E0
4.674771154E1,5.000000000E0
