"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.750066998136851E9,"2025-06-16 11:43:18.137 UTC+02:00"
"PAUSE",6.565627662488260E1,1.750067063792363E9,"2025-06-16 11:44:23.792 UTC+02:00"
