"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749469644368552E9,"2025-06-09 13:47:24.369 UTC+02:00"
"PAUSE",4.490937270829454E1,1.749469689277458E9,"2025-06-09 13:48:09.277 UTC+02:00"
