"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.750066535411391E9,"2025-06-16 11:35:35.411 UTC+02:00"
"PAUSE",7.121095862518996E1,1.750066606621642E9,"2025-06-16 11:36:46.622 UTC+02:00"
