acc_X (m/s^2),acc_Y (m/s^2),acc_Z (m/s^2),gyr_X (rad/s),gyr_Y (rad/s),gyr_Z (rad/s),mag_X (µT),mag_Y (µT),mag_Z (µT),press_X (hPa)
-4.207053310807693,-4.5833477255,7.587410360500001,-0.0009698760598250006,-0.029179947674066672,0.04218124900958334,22.112355868333335,35.01224263416666,-24.517028809166664,
-4.55229146128,-4.464897198559999,7.4908307372400005,-0.058167906281600006,-0.9117008426480001,0.438648955218,21.4609375004,34.185292663199995,-25.5849145512,1019.836807
-1.6844351990507997,-4.04218223872,9.468613916279999,0.514171105662,-1.242429053808,0.6570653885628,18.8216452028,29.725295409199997,-31.455842284,
0.9445298401074399,-1.4559203980024,10.082744824199999,1.2795586348399999,-0.1001302887112,-0.60417391571828,11.921929321999999,19.530447693200003,-40.3905004896,
-1.372220452914,1.5848143615719998,8.56221877444,1.1536641526159999,0.5455044835864,-0.8963116502680001,13.280639648000001,7.39989562968,-44.010179443199995,
-1.5766892578696,2.92736052244,8.63675178188,0.06351906341239999,-0.2992058084928,-0.2485425600388,13.490245667200002,2.42550506596,-44.81427368119999,
-0.6033593078524,3.3307536621600002,8.90834100952,0.2196131470032,-0.14931549015092002,0.45123269974439995,10.50405914364,1.4689935303268,-45.49741333,1019.8547359999999
0.610688067596,4.04483472296,7.5304563354,0.7383587282320001,-0.2924718224312,0.49719861835400003,8.8482940674,-4.570227051019999,-45.304683838799995,
1.3401032408495999,6.22338640124,9.00690803796,1.145284950776,-0.249455088388,0.2841285845616,1.0718630981852002,-16.804352721599997,-42.8675354004,
-0.3349734191748,8.60140129392,5.49427659296,0.41081477702319996,0.56868483484,0.16575065535588,3.84894775388,-26.318217773200004,-37.852607422,
-0.04300856324200002,9.47651149276,5.6852075500399994,-0.21134605079999996,-0.014768099269999993,0.285527335373144,7.0433819580399994,-28.1666064452,-36.421229247599996,1019.8547359999999
2.578352288844,5.340737878875999,6.07033267828,0.1299212872328,-1.00763353944,-0.8239655080484001,-0.14232482916560005,-26.388608093599995,-38.229077147999995,
-0.33292567755599994,8.51858750616,5.2361294127999995,0.22088568585384613,0.48648717500361544,-0.6986664751461539,5.278454413777693,-28.962963691153846,-36.23286320538462,
-0.8632490950426923,8.50826658396154,4.892806126461538,-0.023793924143040004,-0.019619583868839992,-0.22886102170479997,11.124197387639999,-28.583413696399997,-35.7051525888,
-0.8223838439879999,8.12934294432,5.21339468988,-0.043994704362648004,0.19072074033039998,0.06981168455888001,11.9180587784,-28.0065069584,-35.884556884800006,1019.8885349999999
-0.7987210510060001,8.39811802372,5.319428192119999,-0.1808621805912,0.040213234610760006,0.433670495752,11.953564452400004,-27.822286071999997,-36.1707470704,
-0.4368216247424,8.173686731,5.9899318726,-0.23217333270128002,0.02105012817584,0.465513280036,8.953392639079999,-27.316619873599997,-37.0188293456,
0.2980661681915999,7.94162730116,7.0251551147199995,-1.4815051508,-1.171400255492,0.2789827900488,1.4040637207200002,-20.1791906732,-41.28750488199999,
4.975521349959999,2.7329448120759996,6.79118565676,-0.958704403648,-0.9765301378292,0.462092159396,-16.52843383692,-3.622036437968,-41.86262695320001,1019.88266
5.23131542356,2.509447576924,7.426967541439999,0.02722505302192,0.20240549668543997,-0.04992545500308,-19.3603948972,1.8574105834799999,-41.3308911128,
5.699583654839999,2.7403633849599998,8.16826799924,-0.38952456742400005,-0.36016533992848004,0.330459131507948,-19.3504809572,3.5359957885599997,-40.749558106,
5.4587764160639995,1.265869610656,6.61090654912,0.2178026208292,-0.2646157353356,-0.0704108518276,-23.608825684,7.88413543708,-38.331635741999996,
6.257611230432001,3.27137514032,7.3603081608,0.6829651129640001,0.31544141010279997,-0.27539078741879996,-23.274227904799996,-0.22863464361719996,-39.6689611828,1019.8590849999999
