"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.750067351225141E9,"2025-06-16 11:49:11.225 UTC+02:00"
"PAUSE",4.681278604152612E1,1.750067398037427E9,"2025-06-16 11:49:58.037 UTC+02:00"
