"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.394513334E-1,7.634873199E0,-8.162525940E-1,4.301604767E0
9.494213334E-1,7.632927246E0,-8.527766418E-1,4.104913788E0
9.593903334E-1,7.722740479E0,-9.024732971E-1,3.900738373E0
9.693603334E-1,7.835156708E0,-1.043031006E0,3.605851593E0
9.793303334E-1,7.967631226E0,-1.221160583E0,3.355871429E0
9.893003333E-1,8.140521698E0,-1.446891174E0,3.366050262E0
9.992703333E-1,8.347690887E0,-1.628014526E0,3.389850769E0
1.009240333E0,8.566086731E0,-1.842368774E0,3.237317963E0
1.019209333E0,8.818910980E0,-2.043999481E0,2.953508148E0
1.029179333E0,8.988059235E0,-2.252216492E0,2.622845764E0
1.039149333E0,9.050479431E0,-2.515219574E0,2.363734589E0
1.049119333E0,9.123078461E0,-2.780917053E0,2.186952209E0
1.059089333E0,9.261690216E0,-2.992726593E0,2.066003723E0
1.069059333E0,9.397008820E0,-3.168760529E0,2.107018433E0
1.079028333E0,9.350755005E0,-3.242557068E0,2.260000305E0
1.088998333E0,9.291777649E0,-3.232527924E0,2.263293457E0
1.098968333E0,9.443412323E0,-3.206182709E0,2.152523804E0
1.108938333E0,9.655221863E0,-3.144810333E0,2.039359131E0
1.118908333E0,9.794881439E0,-3.104244690E0,1.866468658E0
1.128878333E0,9.804311829E0,-3.045267334E0,1.726958771E0
1.138847333E0,9.723030853E0,-2.947819977E0,1.647923126E0
1.148817333E0,9.529333649E0,-2.861449585E0,1.578766937E0
1.158787333E0,9.236542511E0,-2.728526001E0,1.510209503E0
1.168757333E0,9.004225616E0,-2.576142883E0,1.284478912E0
1.178727333E0,8.926537170E0,-2.397863617E0,1.022972717E0
1.188697333E0,8.986113281E0,-2.220033417E0,9.327104187E-1
1.198666333E0,9.165140991E0,-2.126477966E0,9.580078125E-1
1.208636333E0,9.423952789E0,-2.074386292E0,8.866062927E-1
1.218606333E0,9.627828827E0,-2.064506836E0,7.635621643E-1
1.228576333E0,9.731413422E0,-2.103874969E0,6.367758179E-1
1.238546333E0,9.587562561E0,-2.183509369E0,2.887495422E-1
1.248516333E0,9.252110138E0,-2.267185364E0,-2.094145203E-1
1.258485333E0,8.808133392E0,-2.363135834E0,-5.821394348E-1
1.268455333E0,8.303083649E0,-2.374362488E0,-1.004261627E0
1.278425333E0,7.883506165E0,-2.224973145E0,-1.080153809E0
1.288395333E0,7.650291138E0,-1.979034576E0,-6.264472961E-1
1.298365333E0,7.451504517E0,-1.638941803E0,2.724334717E-2
1.308334333E0,7.342531128E0,-1.257834320E0,4.170327759E-1
1.318304333E0,7.672894135E0,-9.345066833E-1,7.002438354E-1
1.328274333E0,8.414601746E0,-9.479786682E-1,1.095272369E0
1.338244333E0,9.086404724E0,-1.144220581E0,1.712438965E0
1.348214333E0,9.573042755E0,-1.529818726E0,2.480940857E0
1.358184333E0,9.929900665E0,-2.091600494E0,2.941083984E0
1.368154333E0,1.034858002E1,-2.657723236E0,2.985092468E0
1.378123333E0,1.086710175E1,-2.912194061E0,2.866838379E0
1.388093333E0,1.150253036E1,-2.807112579E0,2.911894684E0
1.398063333E0,1.203886505E1,-2.485132141E0,2.984344025E0
1.408033333E0,1.228824646E1,-2.086361389E0,2.969524841E0
1.418003333E0,1.207613754E1,-1.723665619E0,3.077151031E0
1.427973333E0,1.127904510E1,-1.395248566E0,3.285817108E0
1.437942333E0,1.020368134E1,-1.213676147E0,3.334316254E0
1.447912375E0,9.148226166E0,-1.164278870E0,3.234922943E0
1.457882375E0,8.276289368E0,-1.294058990E0,3.173251190E0
1.467852375E0,7.707921295E0,-1.667083282E0,3.160377960E0
1.477822375E0,7.417225800E0,-2.334395599E0,3.204835510E0
1.487791375E0,7.287295990E0,-3.061583405E0,3.351231079E0
1.497761375E0,7.255112915E0,-3.541036377E0,3.527564392E0
1.507731375E0,7.293582916E0,-3.438499603E0,3.616329803E0
1.517701375E0,7.457941132E0,-2.866988068E0,3.656745758E0
1.527671375E0,7.687563629E0,-2.162253571E0,3.655248871E0
1.537641375E0,7.921078033E0,-1.563947754E0,3.519780579E0
1.547610375E0,8.203241272E0,-1.218915253E0,3.383114777E0
1.557580375E0,8.631650391E0,-1.100511475E0,3.310815125E0
1.567550375E0,9.200168152E0,-1.262774048E0,3.300336914E0
1.577520375E0,9.811197510E0,-1.682950287E0,3.376678162E0
1.587490375E0,1.017688705E1,-2.275867310E0,3.608995056E0
1.597460375E0,1.011790970E1,-2.611768799E0,4.074377289E0
1.607429375E0,9.799671478E0,-2.485132141E0,4.571493530E0
1.617399375E0,9.504635010E0,-1.975891113E0,5.004393311E0
1.627369375E0,9.295370178E0,-1.368903351E0,5.297783203E0
1.637339375E0,9.134754181E0,-9.449848938E-1,5.389542389E0
1.647309375E0,8.905281372E0,-5.385800171E-1,5.465584259E0
1.657279375E0,8.662785645E0,-1.698966980E-1,5.506748657E0
1.667248375E0,8.463400269E0,-3.757186890E-2,5.621410217E0
1.677218375E0,8.408763885E0,-7.978408813E-2,5.865552521E0
1.687188375E0,8.482710114E0,-3.430865479E-1,6.036796417E0
1.697158375E0,8.677455139E0,-7.608677673E-1,5.903723145E0
1.707128375E0,8.976084137E0,-1.081051941E0,5.517825623E0
1.717098375E0,9.349108429E0,-1.308578796E0,5.009482727E0
1.727067375E0,9.782606964E0,-1.421893158E0,4.565805359E0
1.737037375E0,1.018227585E1,-1.350491638E0,4.327650604E0
