"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749467474284615E9,"2025-06-09 13:11:14.285 UTC+02:00"
"PAUSE",7.109024291671813E1,1.749467545374137E9,"2025-06-09 13:12:25.374 UTC+02:00"
