"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.750067428666318E9,"2025-06-16 11:50:28.666 UTC+02:00"
"PAUSE",4.191668429179117E1,1.750067470582547E9,"2025-06-16 11:51:10.583 UTC+02:00"
