"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.679372918E-1,-1.861564994E0,2.553105354E0,1.504317641E0
7.779072917E-1,-1.894339204E0,2.737227917E0,1.552604437E0
7.878782917E-1,-1.919247150E0,2.887779713E0,1.538535714E0
7.978482917E-1,-1.903052926E0,3.022917509E0,1.481381774E0
8.078192917E-1,-1.865833759E0,3.092397928E0,1.390658617E0
8.177892917E-1,-1.861006975E0,3.026541948E0,1.326964378E0
8.277592917E-1,-1.859679699E0,2.849239349E0,1.318338871E0
8.377302918E-1,-1.828037977E0,2.606252432E0,1.337224245E0
8.477002917E-1,-1.799205303E0,2.340424299E0,1.316607714E0
8.576712917E-1,-1.801812530E0,2.055063009E0,1.228878617E0
8.676412917E-1,-1.795573235E0,1.768558264E0,1.121146917E0
8.776112917E-1,-1.772519231E0,1.468724489E0,1.020909309E0
8.875822917E-1,-1.733670712E0,1.156630158E0,9.493999481E-1
8.975522917E-1,-1.683137774E0,8.765640855E-1,9.097145796E-1
9.075231251E-1,-1.636571765E0,6.629933715E-1,8.940604925E-1
9.174931251E-1,-1.608439684E0,4.940043092E-1,8.769502044E-1
9.274641251E-1,-1.574978948E0,3.353600800E-1,8.552852273E-1
9.374341250E-1,-1.542144537E0,2.234966904E-1,8.195874095E-1
9.474041250E-1,-1.531675220E0,1.724624038E-1,7.897161841E-1
9.573751250E-1,-1.539329410E0,1.568658650E-1,7.544385791E-1
9.673451250E-1,-1.540972829E0,1.640825868E-1,7.232981920E-1
9.773161251E-1,-1.539271235E0,2.080503106E-1,6.719356179E-1
9.872861251E-1,-1.530933499E0,2.952455580E-1,6.210723519E-1
9.972561251E-1,-1.531414032E0,4.199017286E-1,5.863926411E-1
1.007227125E0,-1.546508789E0,5.404620171E-1,5.478255153E-1
1.017197125E0,-1.578901649E0,6.638351083E-1,4.992600679E-1
1.027168125E0,-1.568499088E0,7.796365023E-1,4.352787733E-1
1.037138125E0,-1.522569418E0,8.952957392E-1,3.723240495E-1
1.047109125E0,-1.469927311E0,1.010218620E0,3.275502622E-1
1.057079125E0,-1.420958757E0,1.113559723E0,2.981508374E-1
1.067049125E0,-1.399776340E0,1.187781692E0,2.728782296E-1
1.077020125E0,-1.403731942E0,1.216275096E0,2.460260838E-1
1.086990125E0,-1.394679785E0,1.212157369E0,1.984532773E-1
1.096961125E0,-1.349868655E0,1.167579293E0,1.322249919E-1
1.106931125E0,-1.283269405E0,1.102596760E0,6.183365360E-2
1.116902125E0,-1.202578187E0,1.062107682E0,-1.306615677E-2
1.126872125E0,-1.135232925E0,1.102710366E0,-1.027116701E-1
1.136842125E0,-1.078063846E0,1.183800936E0,-2.050215155E-1
1.146813125E0,-1.036386967E0,1.225488186E0,-2.863273323E-1
1.156783125E0,-9.898178577E-1,1.221422911E0,-3.569370508E-1
1.166754125E0,-9.667582512E-1,1.138050437E0,-4.136501849E-1
1.176724125E0,-9.510453343E-1,1.035655856E0,-4.877997637E-1
