"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749469337131860E9,"2025-06-09 13:42:17.132 UTC+02:00"
"PAUSE",4.236559483339079E1,1.749469379497109E9,"2025-06-09 13:42:59.497 UTC+02:00"
