"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749469206674593E9,"2025-06-09 13:40:06.675 UTC+02:00"
"PAUSE",6.399330525007099E1,1.749469270667180E9,"2025-06-09 13:41:10.667 UTC+02:00"
