"Time (s)","Distance (cm)"
2.991754166E-2,5.000000000E0
4.774704180E-2,0.000000000E0
9.038704168E-2,5.000000000E0
3.307334417E0,0.000000000E0
4.324107042E0,5.000000000E0
4.874277208E0,0.000000000E0
5.787699000E0,5.000000000E0
6.775229750E0,0.000000000E0
6.908494459E0,5.000000000E0
6.941887208E0,0.000000000E0
2.887829938E1,5.000000000E0
3.053998933E1,0.000000000E0
4.505540446E1,5.000000000E0
4.545882108E1,0.000000000E0
4.635884575E1,5.000000000E0
4.648217229E1,0.000000000E0
4.812905113E1,5.000000000E0
4.825092458E1,0.000000000E0
4.901120913E1,5.000000000E0
4.918925000E1,0.000000000E0
6.189358217E1,5.000000000E0
