"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.772027918E-1,5.645635128E-1,-1.934555650E0,1.616344303E-1
7.871717918E-1,6.251835227E-1,-1.916354895E0,1.057481021E-1
7.971407918E-1,6.751271486E-1,-1.923357725E0,5.383004248E-2
8.071107918E-1,7.430967093E-1,-1.956101775E0,5.267182365E-3
8.170797918E-1,8.232999444E-1,-1.979319453E0,-5.269305408E-2
8.270487918E-1,8.845428824E-1,-1.969058633E0,-7.337293029E-2
8.370187918E-1,9.254251122E-1,-1.930427551E0,-6.309872121E-2
8.469877918E-1,9.548693299E-1,-1.862406492E0,-2.439199761E-2
8.569567918E-1,9.676420689E-1,-1.796892524E0,1.961301081E-2
8.669267918E-1,9.360007048E-1,-1.720230222E0,2.221422270E-2
8.768957919E-1,8.929645419E-1,-1.564805746E0,-2.802737616E-2
8.868647919E-1,8.422311544E-1,-1.340509653E0,-9.664440155E-2
8.968347919E-1,8.087155223E-1,-1.089295745E0,-1.751210988E-1
9.068037916E-1,7.755879164E-1,-8.163518906E-1,-2.304813415E-1
9.167737917E-1,7.343091965E-1,-5.254579782E-1,-2.724628747E-1
9.267427917E-1,6.736140847E-1,-2.746148109E-1,-2.941775620E-1
9.367117917E-1,6.466900706E-1,-6.879267097E-2,-3.196735978E-1
9.466817917E-1,6.302328706E-1,8.482520282E-2,-3.530407846E-1
9.566507917E-1,6.175964475E-1,2.314982712E-1,-4.109765291E-1
9.666197917E-1,6.190346479E-1,3.846785426E-1,-4.865969121E-1
9.765897917E-1,6.543521285E-1,5.075263977E-1,-5.726159811E-1
9.865587917E-1,7.029653788E-1,5.498570800E-1,-6.379687190E-1
9.965277917E-1,7.506772280E-1,5.342866182E-1,-6.970951557E-1
1.006497792E0,8.097496629E-1,4.993754327E-1,-7.446644306E-1
1.016466792E0,8.592647314E-1,4.839109778E-1,-7.793459892E-1
1.026435792E0,8.844102621E-1,5.052483082E-1,-8.107208014E-1
1.036405792E0,8.796708584E-1,5.225300789E-1,-8.535017967E-1
1.046374792E0,8.629502654E-1,5.293511152E-1,-8.690682054E-1
1.056343792E0,8.426937461E-1,5.618861914E-1,-8.655256629E-1
1.066313792E0,8.407686949E-1,6.419159770E-1,-8.813664913E-1
1.076282792E0,8.332194090E-1,7.001015544E-1,-9.190009832E-1
1.086251792E0,8.178271055E-1,7.193686366E-1,-9.392437935E-1
1.096221792E0,7.828899026E-1,7.250840068E-1,-9.340708256E-1
1.106190792E0,7.160465121E-1,7.490931153E-1,-9.022328854E-1
1.116160792E0,6.316788793E-1,7.857587337E-1,-8.227263689E-1
1.126129792E0,5.590481758E-1,9.087114334E-1,-7.101278305E-1
1.136099292E0,4.900083840E-1,1.054273963E0,-6.238864064E-1
1.146069292E0,3.838640749E-1,1.165894508E0,-5.619743466E-1
1.156038292E0,2.576675117E-1,1.146633744E0,-5.060258508E-1
1.166007292E0,1.852018386E-1,1.066389918E0,-4.414295256E-1
1.175977292E0,1.438240409E-1,9.486546516E-1,-3.938367069E-1
1.185946292E0,1.448420733E-1,7.711215615E-1,-3.537141681E-1
1.195915292E0,2.031402737E-1,5.211803913E-1,-2.847636044E-1
1.205885292E0,2.474992871E-1,2.291813493E-1,-1.910053492E-1
1.215854292E0,2.421372682E-1,2.264388651E-2,-8.707548678E-2
1.225823292E0,1.775881350E-1,-6.102905422E-2,-3.490786254E-2
1.235793292E0,6.273026019E-2,-3.771591582E-4,-5.230362713E-2
1.245762292E0,-4.241408408E-2,1.547580063E-1,-1.233616471E-1
1.255731292E0,-6.824621558E-2,3.302238584E-1,-1.858929396E-1
1.265701292E0,-5.786938965E-2,3.986309469E-1,-1.856089532E-1
1.275670292E0,-5.721292272E-2,3.565625846E-1,-1.734393686E-1
1.285639292E0,-1.248874441E-1,2.518776655E-1,-1.748834997E-1
1.295609292E0,-2.282995880E-1,1.353883296E-1,-1.725889146E-1
1.305578292E0,-3.066594005E-1,2.348097228E-2,-1.270171553E-1
1.315548292E0,-3.857907057E-1,-1.031680480E-1,-8.984928578E-2
1.325517292E0,-4.367239475E-1,-2.812305689E-1,-1.032333001E-1
1.335486292E0,-4.196054041E-1,-5.487965345E-1,-1.388054043E-1
1.345456292E0,-3.522295356E-1,-8.132973313E-1,-1.698133796E-1
1.355425292E0,-2.901903987E-1,-9.864963293E-1,-1.971568465E-1
1.365394292E0,-2.459884435E-1,-1.014213920E0,-2.322838008E-1
1.375364292E0,-2.521576583E-1,-9.009395242E-1,-2.764230371E-1
1.385333292E0,-2.743058205E-1,-7.047406435E-1,-3.101000190E-1
1.395302292E0,-2.778614163E-1,-5.364016891E-1,-3.141203225E-1
1.405272292E0,-2.398875356E-1,-4.124218225E-1,-2.740710676E-1
1.415241292E0,-1.808090359E-1,-3.476803601E-1,-2.293901592E-1
1.425210292E0,-1.394962966E-1,-3.668955863E-1,-2.271829844E-1
1.435180292E0,-8.583573252E-2,-4.032972753E-1,-2.448024601E-1
1.445149292E0,2.411777712E-2,-4.371922314E-1,-2.602787912E-1
1.455118292E0,1.596692055E-1,-4.995024800E-1,-2.366594672E-1
1.465088292E0,2.508647442E-1,-5.329918265E-1,-1.891615987E-1
1.475057292E0,3.158498704E-1,-5.263780951E-1,-1.714478582E-1
1.485026292E0,3.539825380E-1,-4.750063717E-1,-1.597571373E-1
1.494996292E0,3.739362657E-1,-3.842812777E-1,-1.484935731E-1
1.504965292E0,3.786557913E-1,-2.425201535E-1,-1.563343853E-1
1.514935292E0,3.487873673E-1,-9.652540088E-2,-1.649188250E-1
1.524904292E0,2.790867388E-1,8.826225065E-3,-1.453811675E-1
1.534873292E0,1.754176021E-1,5.323470384E-2,-9.189610183E-2
1.544843292E0,5.544041470E-2,1.392095932E-3,-3.817685694E-2
1.554812292E0,-4.701139033E-2,-7.571547478E-2,-3.127527982E-2
1.564781292E0,-1.425929070E-1,-1.273859143E-1,-9.804353863E-2
1.574751292E0,-2.199295163E-1,-2.139852494E-1,-2.102331817E-1
1.584720292E0,-2.688615322E-1,-3.332294822E-1,-3.113956749E-1
1.594689292E0,-2.897111475E-1,-4.411511719E-1,-4.098583162E-1
1.604659292E0,-2.665991485E-1,-4.645112157E-1,-4.198624492E-1
1.614628292E0,-2.338846177E-1,-3.657985032E-1,-3.368365467E-1
1.624597292E0,-2.022892386E-1,-2.490858585E-1,-2.747916579E-1
1.634567292E0,-1.510377675E-1,-9.754693508E-2,-2.562014759E-1
1.644536292E0,-8.892770857E-2,4.365980998E-2,-2.671746612E-1
1.654505292E0,-7.808411866E-2,1.133677810E-1,-2.642947137E-1
1.664475292E0,-8.225775510E-2,2.049261779E-1,-2.507703304E-1
1.674444292E0,-4.814159125E-2,3.362820745E-1,-2.282181382E-1
1.684413292E0,-9.712023661E-3,4.559507668E-1,-2.333512306E-1
1.694383292E0,2.823535912E-2,5.020927191E-1,-2.479717135E-1
1.704352292E0,6.837288290E-2,4.597104788E-1,-2.533231080E-1
1.714322292E0,9.302602708E-2,3.555449247E-1,-2.423183918E-1
1.724291292E0,9.382237494E-2,2.284069061E-1,-2.465343922E-1
1.734260292E0,8.346480876E-2,1.249015555E-1,-2.751937211E-1
1.744230292E0,9.079995751E-2,5.196295306E-2,-2.925849557E-1
1.754199292E0,1.244215742E-1,5.258932710E-2,-3.084856272E-1
1.764168292E0,1.394962817E-1,1.125581861E-1,-3.405563235E-1
1.774138292E0,1.407085508E-1,1.713328212E-1,-3.820526302E-1
1.784107292E0,1.307108253E-1,2.459084243E-1,-4.078945816E-1
1.794076292E0,1.291808486E-1,3.138363659E-1,-4.012694359E-1
1.804046292E0,1.512606442E-1,3.614742458E-1,-3.836179078E-1
1.814015292E0,1.598259062E-1,3.743913770E-1,-3.447472155E-1
1.823984292E0,1.478115171E-1,3.379941583E-1,-2.863812149E-1
1.833954292E0,1.057468802E-1,2.776906192E-1,-2.436105609E-1
1.843923292E0,6.418429315E-2,2.613021433E-1,-2.268760204E-1
1.853892292E0,5.146183819E-2,3.248829842E-1,-2.170060873E-1
1.863862292E0,5.944878608E-2,3.911285400E-1,-2.117933631E-1
1.873831292E0,7.950664312E-2,4.032262266E-1,-2.422593832E-1
1.883800292E0,8.702054620E-2,3.643709421E-1,-3.070516586E-1
1.893770292E0,8.297387511E-2,2.864713371E-1,-3.919327259E-1
1.903739292E0,7.010093331E-2,1.993387640E-1,-4.782995582E-1
1.913709292E0,5.320984125E-2,1.239372268E-1,-5.394620299E-1
1.923678292E0,5.868219957E-2,4.685643315E-2,-5.795256495E-1
1.933647292E0,6.275284290E-2,-3.895061836E-2,-6.191220880E-1
1.943617292E0,4.625705630E-2,-1.171792746E-1,-6.648093462E-1
1.953586292E0,4.687304795E-2,-1.683151722E-1,-7.225427032E-1
1.963555292E0,5.276641250E-2,-2.136440575E-1,-7.694759965E-1
1.973525292E0,5.620002374E-2,-2.452038527E-1,-8.072790504E-1
1.983494292E0,5.873267353E-2,-2.781429589E-1,-8.265473247E-1
1.993463292E0,7.730795443E-2,-3.038075566E-1,-8.261531591E-1
2.003433292E0,1.038338095E-1,-3.023210764E-1,-8.333437443E-1
2.013402292E0,1.373387724E-1,-2.648634315E-1,-8.422216177E-1
2.023371292E0,1.807593852E-1,-2.218971997E-1,-8.509563804E-1
2.033341292E0,2.165565342E-1,-1.735560447E-1,-8.728581667E-1
2.043310292E0,2.303560227E-1,-1.418919265E-1,-8.975536823E-1
2.053280292E0,2.244169116E-1,-1.194140539E-1,-9.239109755E-1
2.063249292E0,2.087902576E-1,-1.314689219E-1,-9.327827692E-1
2.073218292E0,2.036247849E-1,-1.869433671E-1,-9.165250063E-1
2.083188292E0,2.127391845E-1,-1.850455999E-1,-8.996692896E-1
2.093157292E0,2.176087797E-1,-1.446811259E-1,-9.012384415E-1
2.103126292E0,2.156522274E-1,-6.998077035E-2,-9.167954922E-1
2.113096292E0,2.050648332E-1,1.471068151E-2,-9.205894470E-1
2.123065292E0,1.839399487E-1,6.468372047E-2,-9.052878618E-1
2.133035292E0,1.811891645E-1,9.062211215E-2,-9.027658701E-1
2.143005292E0,2.041845471E-1,9.933168441E-2,-9.239035249E-1
