"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.719007969E-2,5.238129865E1,4.860444602E0,5.608180046E0,NaN,NaN,2.616644180E1,4.054896927E1
5.749360323E-1,5.238129865E1,4.860444602E0,4.597047329E0,NaN,NaN,2.616644180E1,2.420496368E1
1.814298987E0,5.238143405E1,4.860622315E0,3.328029633E0,9.700000286E-1,3.420703125E2,1.821759813E1,2.400000000E1
1.873026013E0,5.238143879E1,4.860619800E0,3.895530701E-1,9.700000286E-1,3.417187500E2,1.823375224E1,3.000000000E0
2.885841012E0,5.238125003E1,4.860597588E0,1.396751404E-1,9.599999785E-1,3.343359375E2,1.447139045E1,4.000000000E0
3.882752061E0,5.238119383E1,4.860642264E0,-9.189224243E-2,7.699999809E-1,NaN,1.568868892E1,4.000000000E0
4.890843987E0,5.238119123E1,4.860648047E0,1.665306091E-1,4.799999893E-1,NaN,1.842855803E1,4.000000000E0
5.889515042E0,5.238119944E1,4.860660536E0,1.057395935E-1,5.600000024E-1,NaN,1.590960023E1,4.000000000E0
6.863202095E0,5.238118310E1,4.860654417E0,2.596702576E-1,5.600000024E-1,NaN,1.345800864E1,4.000000000E0
7.863216758E0,5.238119081E1,4.860674618E0,1.200710297E0,2.199999988E-1,NaN,1.189366010E1,4.000000000E0
8.863203645E0,5.238118344E1,4.860680569E0,1.432338715E0,0.000000000E0,NaN,9.199204480E0,4.000000000E0
9.863197088E0,5.238117954E1,4.860678641E0,1.163051605E0,0.000000000E0,NaN,8.394870555E0,4.000000000E0
1.086319995E1,5.238118042E1,4.860678054E0,1.089260101E0,2.500000000E-1,3.041015625E2,7.593153816E0,4.000000000E0
1.186318743E1,5.238117736E1,4.860670427E0,7.884788513E-1,3.600000143E-1,2.991796875E2,7.668620948E0,4.000000000E0
1.286319530E1,5.238117497E1,4.860662548E0,1.054347992E0,3.600000143E-1,2.833593750E2,8.236013104E0,4.000000000E0
1.386319661E1,5.238117497E1,4.860662548E0,1.054348061E0,3.600000143E-1,NaN,8.236013104E0,4.000000000E0
1.486318350E1,5.238117287E1,4.860655759E0,9.604759905E-1,3.899999857E-1,NaN,8.040094981E0,4.000000000E0
1.586318839E1,5.238117447E1,4.860643269E0,1.688686439E0,3.899999857E-1,NaN,8.645670832E0,4.000000000E0
1.686319566E1,5.238116717E1,4.860631714E0,1.878383745E0,7.200000286E-1,2.228906193E2,8.712530241E0,4.000000000E0
1.786318541E1,5.238113347E1,4.860632297E0,1.398647645E0,1.850000024E0,1.828124989E2,9.323979665E0,4.000000000E0
1.886319411E1,5.238112858E1,4.860633966E0,1.408718177E0,9.599999785E-1,NaN,9.362078792E0,4.000000000E0
1.986319923E1,5.238111053E1,4.860635412E0,1.389309069E0,9.599999785E-1,1.771875005E2,1.023261904E1,4.000000000E0
2.086318600E1,5.238110949E1,4.860622734E0,1.623378864E0,7.400000095E-1,2.148046826E2,9.600449416E0,4.000000000E0
2.186317253E1,5.238111665E1,4.860608352E0,1.876369586E0,7.400000095E-1,2.988281175E2,9.291768706E0,4.000000000E0
2.286315846E1,5.238111487E1,4.860608988E0,2.557216713E0,2.099999934E-1,NaN,8.204375110E0,4.000000000E0
2.386314535E1,5.238112480E1,4.860609490E0,4.212246008E0,3.300000131E-1,NaN,6.909989664E0,4.000000000E0
2.486313319E1,5.238113641E1,4.860617202E0,4.692653722E0,3.300000131E-1,NaN,6.475486801E0,4.000000000E0
2.586312068E1,5.238114710E1,4.860629691E0,4.782436440E0,6.000000238E-1,NaN,6.253540409E0,4.000000000E0
2.686310816E1,5.238115745E1,4.860637570E0,4.886501379E0,6.000000238E-1,NaN,6.123303486E0,4.000000000E0
2.786309588E1,5.238116922E1,4.860642487E0,5.172756286E0,5.299999714E-1,1.863281447E1,6.211220385E0,4.000000000E0
2.886308348E1,5.238117932E1,4.860637036E0,5.170192809E0,5.299999714E-1,3.529687492E2,6.442461708E0,4.000000000E0
2.986307049E1,5.238119167E1,4.860624217E0,5.520229436E0,6.100000143E-1,3.188671828E2,6.206252997E0,4.000000000E0
3.086305821E1,5.238120470E1,4.860604854E0,5.392543936E0,9.900000095E-1,3.065624908E2,6.807699211E0,4.000000000E0
3.186304617E1,5.238121397E1,4.860592690E0,5.563137198E0,9.900000095E-1,2.991796774E2,7.019769453E0,4.000000000E0
3.286303341E1,5.238122902E1,4.860589744E0,5.616420861E0,7.699999809E-1,3.206249943E2,7.198388254E0,4.000000000E0
3.386302173E1,5.238118500E1,4.860532814E0,3.606728567E-1,6.424806598E-1,NaN,1.718230589E1,1.253170816E0
3.486301017E1,5.238119000E1,4.860531100E0,3.780017495E-1,6.737364174E-1,NaN,1.951100324E1,1.275475714E0
3.586300004E1,5.238119015E1,4.860525520E0,3.855645927E-1,5.775048016E-1,NaN,2.202818861E1,1.307020694E0
3.686298585E1,5.238122969E1,4.860543401E0,3.972106222E-1,1.415357504E0,NaN,2.318678216E1,1.341110735E0
3.786297500E1,5.238120597E1,4.860552826E0,4.258873016E-1,1.198521093E0,NaN,2.286094084E1,1.372406654E0
3.886296415E1,5.238107188E1,4.860532310E0,-1.386715053E-1,6.442848646E-1,NaN,2.017887288E1,1.351521417E0
3.986295211E1,5.238110561E1,4.860543112E0,9.483794663E-1,5.452456669E-1,NaN,1.809682887E1,1.227890001E0
4.086294007E1,5.238110358E1,4.860556998E0,1.021715037E0,5.917725399E-1,NaN,1.415527208E1,1.246278166E0
4.186292946E1,5.238110562E1,4.860564390E0,1.021086493E0,8.661381207E-1,NaN,1.254304101E1,1.277950726E0
4.286291718E1,5.238119721E1,4.860639374E0,9.588812087E-1,2.143411494E0,3.432668157E2,9.915152402E0,1.212678725E0
4.386290562E1,5.238118925E1,4.860644421E0,1.377331292E0,1.542066358E0,3.395673883E2,9.751266233E0,1.201091455E0
4.486289394E1,5.238117584E1,4.860649657E0,1.180533588E0,8.423929619E-1,NaN,8.818961200E0,1.167062026E0
4.586288309E1,5.238116497E1,4.860631427E0,2.650234182E0,6.393815508E-1,NaN,8.430061368E0,1.156027973E0
4.686287081E1,5.238115424E1,4.860616706E0,1.446285096E0,5.435535099E-1,NaN,9.316346750E0,1.110506632E0
4.786285996E1,5.238115680E1,4.860602893E0,6.747093098E-1,3.205008188E-1,NaN,8.617966237E0,1.094612493E0
4.886284912E1,5.238115507E1,4.860621444E0,4.922341844E-1,2.679401976E-1,NaN,8.310107526E0,1.121996249E0
4.986283743E1,5.238112782E1,4.860631046E0,2.279097559E-1,1.259000750E0,1.592915552E2,8.351907150E0,1.170333393E0
5.086282635E1,5.238112122E1,4.860625540E0,1.968947593E-1,1.029662035E0,NaN,9.084456076E0,1.232250714E0
5.186281538E1,5.238112150E1,4.860623403E0,8.021797147E-2,6.914646854E-1,NaN,1.007340460E1,1.292660050E0
5.286280417E1,5.238110363E1,4.860635911E0,1.964522433E-2,9.800127622E-1,NaN,1.059040354E1,1.343109260E0
5.386279202E1,5.238109658E1,4.860651232E0,1.292811188E0,9.230860704E-1,NaN,1.176642339E1,1.246270507E0
5.486278093E1,5.238109094E1,4.860641229E0,1.303799942E0,7.403467144E-1,NaN,1.216588611E1,1.278547776E0
5.586277068E1,5.238107351E1,4.860634781E0,7.157137264E-1,7.156805760E-1,NaN,1.268292562E1,1.187568623E0
5.686275864E1,5.238106394E1,4.860621314E0,6.549015185E-1,9.867158964E-1,NaN,1.291572774E1,1.217670669E0
