"Time (s)","Distance (cm)"
2.659374848E-3,5.000000000E0
2.084937505E-2,0.000000000E0
3.302062489E-2,5.000000000E0
7.414313083E0,0.000000000E0
7.530925000E0,5.000000000E0
7.914326833E0,0.000000000E0
9.897716083E0,5.000000000E0
1.002182708E1,0.000000000E0
1.109777154E1,5.000000000E0
1.439897513E1,0.000000000E0
1.439898842E1,5.000000000E0
1.506341775E1,0.000000000E0
2.028042500E1,5.000000000E0
2.385356892E1,0.000000000E0
2.385358108E1,5.000000000E0
2.569781567E1,0.000000000E0
3.493179958E1,5.000000000E0
3.798292683E1,0.000000000E0
3.914038337E1,5.000000000E0
3.999257392E1,0.000000000E0
4.854220554E1,5.000000000E0
4.992479433E1,0.000000000E0
6.332556896E1,5.000000000E0
