"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.748975035483710E9,"2025-06-03 20:23:55.484 UTC+02:00"
"PAUSE",2.989463583333418E1,1.748975065377941E9,"2025-06-03 20:24:25.378 UTC+02:00"
