"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.324695587E-2,5.238136094E1,4.860385699E0,-1.780745745E0,NaN,NaN,2.427360696E1,3.316252899E1
5.453770161E-1,5.238136094E1,4.860385699E0,2.293345690E0,NaN,NaN,2.427360696E1,2.238256645E1
3.776022553E0,5.238116428E1,4.860716527E0,2.184474945E0,0.000000000E0,NaN,9.149006989E0,3.000000000E0
4.776016593E0,5.238116315E1,4.860717449E0,2.307338715E0,0.000000000E0,NaN,8.540207341E0,3.000000000E0
5.776004910E0,5.238116101E1,4.860717952E0,2.331935883E0,0.000000000E0,NaN,6.354042396E0,3.000000000E0
6.775992393E0,5.238115892E1,4.860719293E0,2.302455902E0,0.000000000E0,NaN,6.484141103E0,3.000000000E0
7.775989294E0,5.238115971E1,4.860718120E0,2.395107269E0,0.000000000E0,NaN,6.491613445E0,3.000000000E0
8.779656172E0,5.238116039E1,4.860717785E0,2.405483246E0,0.000000000E0,NaN,6.195435353E0,3.000000000E0
9.779668093E0,5.238116235E1,4.860716024E0,2.479763031E0,0.000000000E0,NaN,6.234570876E0,3.000000000E0
1.077966511E1,5.238116277E1,4.860715605E0,2.516078949E0,0.000000000E0,NaN,6.308359719E0,3.000000000E0
1.177967703E1,5.238116248E1,4.860715186E0,2.566555023E0,0.000000000E0,NaN,5.898046123E0,3.000000000E0
1.277970195E1,5.238116294E1,4.860713845E0,2.615871429E0,0.000000000E0,1.223437500E2,6.054013242E0,3.000000000E0
1.377970719E1,5.238116160E1,4.860710241E0,2.581691742E0,0.000000000E0,1.223437500E2,5.183837367E0,3.000000000E0
1.477973032E1,5.238115829E1,4.860709654E0,2.578212738E0,0.000000000E0,1.223437500E2,4.872785756E0,3.000000000E0
1.577974761E1,5.238115829E1,4.860709654E0,2.578212806E0,0.000000000E0,NaN,4.948339447E0,3.150867417E0
1.677975130E1,5.238115712E1,4.860708732E0,2.494289466E0,0.000000000E0,NaN,4.880126268E0,3.184608373E0
1.777975404E1,5.238115724E1,4.860708397E0,2.460048743E0,0.000000000E0,NaN,4.966985889E0,3.141498882E0
1.877979064E1,5.238115653E1,4.860708816E0,2.495143957E0,0.000000000E0,NaN,4.920828942E0,3.164574904E0
1.977978909E1,5.238115632E1,4.860708900E0,2.510829993E0,0.000000000E0,NaN,4.885900641E0,3.181784063E0
2.077980196E1,5.238114597E1,4.860674976E0,2.417141224E0,1.580000043E0,2.425781087E2,5.145719638E0,3.077141044E0
2.177981460E1,5.238113877E1,4.860697764E0,2.268947864E0,1.580000043E0,2.105859281E2,5.312316509E0,3.041375121E0
2.277981222E1,5.238114626E1,4.860705212E0,2.169948645E0,3.199999928E-1,NaN,5.489321759E0,3.001635725E0
2.377980566E1,5.238115192E1,4.860696830E0,2.123439856E0,2.099999934E-1,NaN,6.065967612E0,3.000000000E0
2.477979839E1,5.238116181E1,4.860711331E0,2.004238197E0,2.399999946E-1,NaN,7.030355438E0,3.000000000E0
2.577979171E1,5.238112799E1,4.860689621E0,2.231960365E0,4.900000095E-1,NaN,6.374452402E0,3.000000000E0
2.677978456E1,5.238111910E1,4.860682916E0,2.403347083E0,4.900000095E-1,NaN,6.696796759E0,3.000000000E0
2.777977705E1,5.238112049E1,4.860676210E0,2.258083411E0,4.900000095E-1,NaN,7.067666860E0,3.000000000E0
2.877976918E1,5.238112602E1,4.860669505E0,2.406581946E0,4.699999988E-1,NaN,6.681144036E0,3.000000000E0
2.977976179E1,5.238113759E1,4.860660117E0,3.205165931E0,0.000000000E0,NaN,5.733734621E0,4.000000000E0
3.077975368E1,5.238114940E1,4.860660704E0,3.385829993E0,0.000000000E0,NaN,5.333098175E0,4.000000000E0
3.177974451E1,5.238115318E1,4.860657016E0,3.536647865E0,0.000000000E0,NaN,5.144155198E0,4.000000000E0
3.277973640E1,5.238115347E1,4.860651148E0,4.266872475E0,0.000000000E0,NaN,5.180390120E0,3.069825731E0
3.377972901E1,5.238115347E1,4.860652322E0,4.651882240E0,2.899999917E-1,NaN,5.011112319E0,3.119074787E0
3.477971947E1,5.238115489E1,4.860658273E0,4.535793372E0,5.099999905E-1,NaN,5.291528203E0,4.000000000E0
