"Time (s)","X (hPa)"
-5.102461250E-1,1.005052414E3
5.152008750E-1,1.005004272E3
1.540588875E0,1.004956131E3
2.565927875E0,1.004956131E3
3.591287875E0,1.005074997E3
4.616740875E0,1.005230255E3
4.765173875E0,1.005302124E3
5.714560875E0,1.005361633E3
6.663952875E0,1.005361633E3
7.613317875E0,1.005467529E3
8.562636875E0,1.006034927E3
9.511968875E0,1.006034927E3
1.046131687E1,1.005715179E3
1.141061388E1,1.005571136E3
1.235999388E1,1.005435104E3
1.330935488E1,1.004804382E3
1.425868988E1,1.004804382E3
1.520802588E1,1.005196991E3
1.615749288E1,1.005285950E3
1.710713787E1,1.005394363E3
1.805682887E1,1.005664673E3
1.900666787E1,1.005813217E3
1.995662487E1,1.006028824E3
2.090671488E1,1.006028824E3
2.185672687E1,1.005793762E3
2.280690787E1,1.005418549E3
2.375704387E1,1.005175705E3
2.470735288E1,1.004832458E3
2.565776687E1,1.004832458E3
2.660812988E1,1.004922485E3
2.755844687E1,1.004922485E3
2.850887087E1,1.004792023E3
2.945921488E1,1.004792023E3
3.040944687E1,1.005012665E3
3.135958088E1,1.005290833E3
3.230979287E1,1.005506668E3
