"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.637147082E-1,1.229211688E0,-1.290414453E0,4.840447605E-1
8.736847083E-1,1.207942605E0,-1.190021992E0,4.896696210E-1
8.836547083E-1,1.173054099E0,-1.126788735E0,4.770124853E-1
8.936257083E-1,1.189185977E0,-1.095211148E0,4.472833574E-1
9.035957083E-1,1.223123074E0,-1.081057549E0,4.263352752E-1
9.135657083E-1,1.236705661E0,-1.047603250E0,4.015369713E-1
9.235367083E-1,1.241884828E0,-9.977715611E-1,3.602199852E-1
9.335067081E-1,1.263696074E0,-9.451006055E-1,3.046193123E-1
9.434767081E-1,1.290405393E0,-8.908548355E-1,2.317183763E-1
9.534467082E-1,1.311730146E0,-8.638397455E-1,1.659372300E-1
9.634177082E-1,1.327861071E0,-8.466479778E-1,1.074563935E-1
9.733877082E-1,1.345688581E0,-8.288913369E-1,4.732488468E-2
9.833577082E-1,1.371142149E0,-8.086712360E-1,-2.093633264E-2
9.933287082E-1,1.357067108E0,-7.685946226E-1,-1.131101996E-1
1.003298708E0,1.347243428E0,-7.051309347E-1,-1.915360391E-1
1.013268708E0,1.372035146E0,-6.100912690E-1,-2.615556121E-1
1.023238708E0,1.383124948E0,-4.940417707E-1,-3.356373608E-1
1.033209708E0,1.387726426E0,-3.594349623E-1,-4.070665538E-1
1.043179708E0,1.433171153E0,-2.355002314E-1,-4.748514891E-1
1.053149708E0,1.468467951E0,-9.837913513E-2,-5.578518510E-1
1.063120708E0,1.497160673E0,2.371483482E-3,-6.136011481E-1
1.073090708E0,1.509007692E0,1.063298434E-1,-6.653439403E-1
1.083060708E0,1.516695142E0,1.824500710E-1,-7.083840370E-1
1.093030708E0,1.512017846E0,2.644245625E-1,-7.604184747E-1
1.103001708E0,1.482823014E0,3.074661493E-1,-8.248319030E-1
1.112971708E0,1.472602606E0,3.027329147E-1,-8.557187319E-1
1.122941708E0,1.450270057E0,3.152770400E-1,-8.803370595E-1
1.132912708E0,1.420209527E0,3.013143539E-1,-8.755497932E-1
1.142882708E0,1.404011965E0,2.833894491E-1,-8.612328768E-1
1.152852708E0,1.385014534E0,2.699514031E-1,-8.568458557E-1
1.162822708E0,1.379884839E0,2.476774901E-1,-8.568264246E-1
1.172793708E0,1.371005297E0,2.291477472E-1,-8.404490352E-1
1.182763708E0,1.391795278E0,2.023164630E-1,-8.249479532E-1
1.192733708E0,1.405095935E0,1.689212322E-1,-8.221529722E-1
1.202704708E0,1.384163976E0,1.446734667E-1,-8.479936719E-1
1.212674708E0,1.318252087E0,1.117892861E-1,-8.775094748E-1
1.222644708E0,1.257074237E0,7.260856032E-2,-8.686882257E-1
1.232614708E0,1.232489228E0,6.496635824E-2,-8.511390686E-1
1.242585708E0,1.240236759E0,1.102949008E-1,-8.342316747E-1
1.252555708E0,1.235810041E0,1.771026999E-1,-8.170226216E-1
1.262525708E0,1.207917452E0,2.101297826E-1,-7.943685651E-1
