"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.531791572E-3,-4.966072998E0,-3.887715454E0,7.934699707E0
1.250179159E-2,-5.035528564E0,-3.780688019E0,7.747888184E0
2.247279161E-2,-5.046006775E0,-3.655248871E0,7.620652771E0
3.244279162E-2,-5.035378876E0,-3.574416962E0,7.537425842E0
4.241279163E-2,-4.977898407E0,-3.559597778E0,7.558681641E0
5.238279165E-2,-4.856500854E0,-3.690425720E0,7.540120239E0
6.235379167E-2,-4.603826294E0,-3.836970978E0,7.509134674E0
7.232379168E-2,-4.375101929E0,-4.063150635E0,7.507637787E0
8.229379146E-2,-4.178410950E0,-4.386927338E0,7.404801636E0
9.226479148E-2,-3.958667908E0,-3.758234711E0,7.364235992E0
1.022347915E-1,-3.897445221E0,-3.586092682E0,7.339237976E0
1.122047915E-1,-3.998634796E0,-3.538791046E0,7.345973969E0
1.221747915E-1,-4.137246552E0,-3.698957977E0,7.399263153E0
1.321457915E-1,-4.330494690E0,-3.827241211E0,7.526348877E0
1.421157916E-1,-4.407135315E0,-3.836821289E0,7.679480438E0
1.520857916E-1,-4.377646637E0,-3.751498718E0,7.825426941E0
1.620567916E-1,-4.314627686E0,-3.596570892E0,7.894433441E0
1.720267916E-1,-4.376898193E0,-3.514541473E0,7.841892700E0
1.819967916E-1,-4.561314697E0,-3.465892639E0,7.835605774E0
1.919667916E-1,-4.707111511E0,-3.513343964E0,7.884404297E0
2.019377917E-1,-4.635260925E0,-3.610342255E0,7.975115662E0
2.119077917E-1,-4.293222198E0,-3.674558716E0,7.957153015E0
2.218777917E-1,-3.967649231E0,-3.650458832E0,7.860304413E0
2.318477915E-1,-3.874542847E0,-3.518583069E0,7.799231415E0
2.418187915E-1,-4.019890594E0,-3.387156372E0,7.786208496E0
2.517887915E-1,-4.342918854E0,-3.303330688E0,7.799381104E0
2.617587915E-1,-4.699327698E0,-3.333118744E0,7.793393555E0
2.717297915E-1,-4.991220703E0,-3.416645050E0,7.736811218E0
2.816997916E-1,-5.174290009E0,-3.464246063E0,7.683971100E0
2.916697916E-1,-5.146447906E0,-3.497177582E0,7.608078918E0
3.016397916E-1,-5.022056580E0,-3.487447815E0,7.431745605E0
3.116107916E-1,-4.996459808E0,-3.477119293E0,7.195836182E0
3.215807916E-1,-5.131628723E0,-3.453767853E0,7.061715088E0
3.315507916E-1,-5.413941650E0,-3.371289368E0,7.041207733E0
3.415217916E-1,-5.660029907E0,-3.309467926E0,6.993157654E0
3.514917917E-1,-5.888454895E0,-3.536994781E0,6.899302826E0
3.614617917E-1,-6.278992767E0,-3.760180664E0,6.765331421E0
3.714317915E-1,-6.752757568E0,-3.665876770E0,6.709048462E0
3.814027915E-1,-7.220983887E0,-3.387755127E0,6.791227570E0
3.913727915E-1,-7.611222382E0,-3.115770721E0,6.979685669E0
4.013427915E-1,-7.730973358E0,-2.926564178E0,7.151228943E0
4.113137082E-1,-7.545359344E0,-2.900518341E0,7.307054901E0
4.212837082E-1,-7.142247620E0,-2.947370911E0,7.363188171E0
4.312537082E-1,-6.674620056E0,-2.961741028E0,7.386539612E0
4.412237082E-1,-6.145171051E0,-2.965932312E0,7.447462921E0
4.511947082E-1,-5.599855042E0,-2.975213013E0,7.539671173E0
4.611647082E-1,-5.080285492E0,-3.124901733E0,7.596702576E0
4.711347083E-1,-4.656067657E0,-3.280578003E0,7.705526276E0
4.811047083E-1,-4.413122864E0,-3.370690613E0,7.908504181E0
4.910757083E-1,-4.270319824E0,-3.450325012E0,8.245902557E0
5.010457083E-1,-4.095483398E0,-3.491788788E0,8.512947235E0
5.110157083E-1,-3.874393158E0,-3.473676453E0,8.755293274E0
5.209867083E-1,-3.636537781E0,-3.434907074E0,8.936716003E0
5.309567081E-1,-3.403921509E0,-3.417094116E0,9.053173828E0
5.409267081E-1,-3.162772980E0,-3.440744934E0,9.118887177E0
5.508967082E-1,-2.963986359E0,-3.453767853E0,9.156309357E0
5.608677082E-1,-2.900069275E0,-3.438349915E0,9.201814728E0
5.708377082E-1,-2.971620483E0,-3.337609406E0,9.206604767E0
5.808077082E-1,-3.035088501E0,-3.203638000E0,9.263187103E0
5.907787082E-1,-3.043171692E0,-3.043920135E0,9.418114929E0
6.007487082E-1,-3.003204803E0,-2.858006744E0,9.517657928E0
6.107187083E-1,-3.045267334E0,-2.698887634E0,9.631720734E0
6.206887083E-1,-3.193459167E0,-2.489772491E0,9.712702332E0
6.306597083E-1,-3.261866913E0,-2.290087738E0,9.743987274E0
6.406297083E-1,-3.233725433E0,-2.248923340E0,9.761201477E0
6.505997083E-1,-3.127596130E0,-2.256407776E0,9.785151672E0
6.605707083E-1,-2.944377136E0,-2.061662750E0,9.794282684E0
6.705407084E-1,-2.738255768E0,-1.739682312E0,9.805659027E0
6.805107081E-1,-2.611469421E0,-1.438957672E0,9.836195526E0
6.904807081E-1,-2.524051208E0,-1.071322174E0,9.943971405E0
7.004517082E-1,-2.562221832E0,-7.119195557E-1,9.958640900E0
7.104217082E-1,-2.600093079E0,-4.840933228E-1,9.875563660E0
7.203917082E-1,-2.662962341E0,-4.412823486E-1,9.758656769E0
7.303627082E-1,-2.629282379E0,-5.658233643E-1,9.727072449E0
7.403327082E-1,-2.460732880E0,-7.514373779E-1,9.783654785E0
7.503027082E-1,-2.227966919E0,-8.803193665E-1,9.909992065E0
7.602727083E-1,-2.028581543E0,-9.783654785E-1,9.988279266E0
7.702437083E-1,-1.865271149E0,-1.084494781E0,9.992470551E0
7.802137083E-1,-1.881138153E0,-1.215622101E0,1.006911118E1
7.901837083E-1,-1.659149780E0,-1.017883301E0,1.007734406E1
8.001547083E-1,-1.427731018E0,-6.842271423E-1,1.004845413E1
8.101247083E-1,-1.329684906E0,-4.363426208E-1,9.992769928E0
8.200947081E-1,-1.196312256E0,-2.417472839E-1,1.007045837E1
8.300647081E-1,-1.011596375E0,-1.481918335E-1,1.017224670E1
8.400357082E-1,-7.987390137E-1,2.424957275E-2,1.025068359E1
8.500057082E-1,-7.390132141E-1,3.088078308E-1,1.024679169E1
8.599757082E-1,-8.761280823E-1,6.388714600E-1,1.008617569E1
8.699467082E-1,-8.360115051E-1,1.063538361E0,9.827962646E0
8.799167082E-1,-8.628057861E-1,1.396446075E0,9.740095367E0
8.898867082E-1,-8.105644226E-1,1.579665070E0,9.854457550E0
