"Time (s)","X (hPa)"
-5.276237503E-1,1.019992599E3
5.001022499E-1,1.020013962E3
1.527882250E0,1.020035324E3
2.555614250E0,1.020035324E3
3.583455250E0,1.019856720E3
4.611116250E0,1.019856720E3
4.756048250E0,1.019856720E3
5.707609250E0,1.019828720E3
6.659370250E0,1.019828720E3
7.611241250E0,1.019838028E3
8.563257250E0,1.019866943E3
9.515254250E0,1.019866943E3
1.046729125E1,1.019866943E3
1.141932425E1,1.019870453E3
1.237146525E1,1.019886475E3
1.332364825E1,1.019886475E3
1.427592225E1,1.019815521E3
1.522803625E1,1.019815521E3
1.618024825E1,1.019810791E3
1.713240225E1,1.019810791E3
1.808454025E1,1.019810791E3
1.903655025E1,1.019824066E3
1.998866125E1,1.019824066E3
2.094066225E1,1.019816208E3
2.189259225E1,1.019797821E3
2.284444925E1,1.019796982E3
2.379623025E1,1.019776535E3
2.474795125E1,1.019796982E3
2.569972225E1,1.019806061E3
2.665137725E1,1.019821625E3
2.760298425E1,1.019845505E3
2.855454525E1,1.019865341E3
2.950607525E1,1.019865570E3
3.045756225E1,1.019868011E3
3.140907525E1,1.019874725E3
3.236052625E1,1.019883728E3
3.331217925E1,1.019883728E3
3.426376825E1,1.019887924E3
