"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.976291632E-3,-4.759326205E-2,-1.498544663E-1,7.390949130E-2
1.894729165E-2,-7.667018473E-2,-7.686173916E-2,6.217719987E-2
2.891829167E-2,-9.032590687E-2,-2.559918538E-2,7.888088375E-2
3.888929146E-2,-8.915757388E-2,-4.459844157E-2,8.615531027E-2
4.886029148E-2,-7.796180248E-2,-1.069352031E-1,9.233748913E-2
5.883129151E-2,-6.777734309E-2,-1.586385965E-1,1.011251211E-1
6.880229153E-2,-5.472465605E-2,-1.771810949E-1,1.167984083E-1
7.877329155E-2,-4.496896639E-2,-1.707671434E-1,1.244893447E-1
8.874429157E-2,-4.775097594E-2,-1.585337669E-1,1.307549626E-1
9.871529159E-2,-5.847153068E-2,-1.461226344E-1,1.365068704E-1
1.086862916E-1,-7.137659192E-2,-1.381892413E-1,1.455367804E-1
1.186572916E-1,-8.542130142E-2,-1.376635283E-1,1.403164417E-1
1.286282917E-1,-8.800312877E-2,-1.202077195E-1,1.366710216E-1
1.385982917E-1,-9.127987921E-2,-1.064951047E-1,1.323766857E-1
1.485692915E-1,-8.868290484E-2,-1.115954891E-1,1.466995478E-1
1.585402915E-1,-8.104789257E-2,-1.377133727E-1,1.765999198E-1
1.685112915E-1,-7.822147757E-2,-1.673959047E-1,2.008048594E-1
1.784809167E-1,-8.457764238E-2,-2.136616707E-1,2.282623202E-1
1.884519167E-1,-9.712489694E-2,-2.577281892E-1,2.639487386E-1
1.984229165E-1,-1.120210215E-1,-2.923439741E-1,3.064219058E-1
2.083939165E-1,-1.509093642E-1,-3.179503679E-1,3.560925126E-1
2.183649165E-1,-2.099535167E-1,-3.349117935E-1,4.140381217E-1
2.283359165E-1,-2.666988075E-1,-3.392862678E-1,4.987173378E-1
2.383069166E-1,-3.232936561E-1,-3.458738625E-1,5.975045562E-1
2.482779166E-1,-3.932478726E-1,-3.707505763E-1,6.916449070E-1
2.582489166E-1,-5.006728768E-1,-4.205058813E-1,8.033863306E-1
2.682199166E-1,-6.060892940E-1,-5.045315027E-1,9.343387485E-1
2.781909166E-1,-6.965749264E-1,-6.086238623E-1,1.076068401E0
2.881619167E-1,-7.634513378E-1,-7.450417280E-1,1.212536931E0
2.981329167E-1,-8.175861835E-1,-8.979111910E-1,1.323813081E0
3.081039165E-1,-8.717624545E-1,-1.108674049E0,1.415917635E0
3.180749165E-1,-9.505084157E-1,-1.378866673E0,1.493695736E0
3.280459165E-1,-1.044984818E0,-1.668376684E0,1.573458910E0
3.380169165E-1,-1.142015815E0,-1.904812932E0,1.642998099E0
3.479879166E-1,-1.235290885E0,-2.060930252E0,1.685513496E0
3.579589166E-1,-1.301804423E0,-2.150330782E0,1.726889491E0
3.679289166E-1,-1.332458019E0,-2.213244677E0,1.777119398E0
3.778999166E-1,-1.345321894E0,-2.267312050E0,1.838596344E0
3.878709166E-1,-1.357947230E0,-2.332405567E0,1.883158803E0
3.978419167E-1,-1.373504877E0,-2.395550728E0,1.894954205E0
4.078129167E-1,-1.396633148E0,-2.462994814E0,1.877148986E0
4.177839165E-1,-1.410930157E0,-2.530209780E0,1.842754245E0
4.277549165E-1,-1.417939425E0,-2.589990139E0,1.787115574E0
4.377259165E-1,-1.381702304E0,-2.664855003E0,1.723694682E0
4.476969165E-1,-1.334135532E0,-2.750676870E0,1.660667062E0
4.576679165E-1,-1.284856915E0,-2.831129313E0,1.617318511E0
4.676389166E-1,-1.228683829E0,-2.893898964E0,1.591064930E0
4.776099166E-1,-1.153556108E0,-2.932981253E0,1.586178303E0
4.875809166E-1,-1.084658980E0,-2.958879232E0,1.597175002E0
4.975519166E-1,-1.047259688E0,-2.976500273E0,1.583204627E0
5.075229167E-1,-1.050408244E0,-3.005355597E0,1.559934020E0
5.174939167E-1,-1.042405725E0,-3.019798040E0,1.519721866E0
5.274649165E-1,-9.926642776E-1,-3.006547451E0,1.438157320E0
5.374359165E-1,-9.222736955E-1,-3.019016266E0,1.331329942E0
5.474069165E-1,-8.386285901E-1,-3.017029047E0,1.216126561E0
5.573779165E-1,-7.802174687E-1,-2.983696938E0,1.112774849E0
5.673489165E-1,-7.739053369E-1,-2.934432983E0,1.042978883E0
5.773189166E-1,-7.865313888E-1,-2.859542847E0,9.865422249E-1
5.872899166E-1,-7.770788074E-1,-2.738729715E0,9.397736788E-1
5.972609166E-1,-7.155355215E-1,-2.600569010E0,9.010244012E-1
6.072319166E-1,-6.167321801E-1,-2.466556787E0,8.411618471E-1
6.172029166E-1,-4.953761995E-1,-2.342385292E0,7.384147048E-1
6.271739167E-1,-3.794186115E-1,-2.219953299E0,6.304494739E-1
6.371449165E-1,-2.872119844E-1,-2.066941977E0,5.497748852E-1
6.471159165E-1,-2.118114084E-1,-1.927518845E0,4.748379290E-1
6.570869165E-1,-1.235550493E-1,-1.834322929E0,3.843069673E-1
6.670579165E-1,-1.574609987E-2,-1.753700256E0,3.048963845E-1
6.770289165E-1,1.057004333E-1,-1.647679567E0,2.402244806E-1
6.869999166E-1,2.398750335E-1,-1.523643851E0,1.926817149E-1
6.969709166E-1,3.785911202E-1,-1.421607494E0,1.382312477E-1
7.069419166E-1,5.053106546E-1,-1.377086282E0,7.020936161E-2
7.169129166E-1,5.982440114E-1,-1.329421282E0,-1.959189773E-2
7.268839166E-1,6.568523645E-1,-1.247991681E0,-1.200168729E-1
7.368549167E-1,7.124029994E-1,-1.139668107E0,-2.191423923E-1
7.468259165E-1,7.623891234E-1,-1.021622539E0,-3.010007441E-1
7.567969165E-1,7.964221835E-1,-8.977890611E-1,-3.745332956E-1
7.667679165E-1,8.200061321E-1,-7.690373659E-1,-4.529756606E-1
7.767389165E-1,8.416046500E-1,-6.254421473E-1,-5.332074165E-1
7.867089165E-1,8.647858500E-1,-4.761714637E-1,-6.140061021E-1
7.966799166E-1,8.904467225E-1,-3.488579988E-1,-6.856443286E-1
8.066509166E-1,9.255861044E-1,-2.307331562E-1,-7.445369959E-1
8.166219166E-1,9.730580449E-1,-1.280078441E-1,-8.095490336E-1
8.265929166E-1,1.032851219E0,-5.536037683E-2,-8.775871992E-1
8.365639166E-1,1.086588264E0,-1.189971901E-2,-9.564679265E-1
8.465349167E-1,1.131990075E0,6.934504025E-3,-1.028563619E0
8.565059167E-1,1.164205194E0,9.069027379E-3,-1.074037552E0
8.664769165E-1,1.183044434E0,3.249438480E-2,-1.079248309E0
8.764479165E-1,1.183493733E0,8.435518295E-2,-1.071151257E0
8.864189165E-1,1.163224697E0,1.486082077E-1,-1.062373519E0
8.963899165E-1,1.105462074E0,2.401077598E-1,-1.043270588E0
9.063609166E-1,1.026839614E0,3.408327401E-1,-1.003914595E0
9.163319166E-1,9.326326847E-1,4.349842668E-1,-9.569085240E-1
9.263029166E-1,8.273094893E-1,5.294687748E-1,-8.974021077E-1
9.362739166E-1,7.090600729E-1,5.967098475E-1,-8.078181148E-1
9.462449166E-1,5.725758076E-1,6.464505792E-1,-7.145771980E-1
9.562159167E-1,4.093848169E-1,6.762183309E-1,-6.481363773E-1
9.661869165E-1,2.547520995E-1,6.610438824E-1,-6.429762840E-1
9.761579165E-1,1.436146349E-1,5.989059210E-1,-6.348855495E-1
9.861279165E-1,6.708994508E-2,5.072348118E-1,-5.876353979E-1
9.960989165E-1,1.264960691E-2,4.073273838E-1,-4.937270284E-1
1.006069917E0,-2.729922906E-2,2.825033665E-1,-3.558947146E-1
1.016040917E0,-6.997026503E-2,1.706370115E-1,-1.989677101E-1
1.026011917E0,-1.145174205E-1,5.244650319E-2,-6.394128501E-2
1.035982917E0,-1.510216296E-1,-4.214391857E-2,3.919790965E-3
1.045953917E0,-2.003155798E-1,-5.734059587E-2,2.886446938E-2
1.055924917E0,-2.431077808E-1,7.869035006E-3,5.387874320E-2
1.065895917E0,-2.689224184E-1,1.360000074E-1,1.130622402E-1
1.075866917E0,-2.796224654E-1,2.870697081E-1,1.797390133E-1
1.085837916E0,-2.828116417E-1,4.129229486E-1,2.115371525E-1
1.095808916E0,-2.969881296E-1,4.974117279E-1,1.699183583E-1
1.105779917E0,-3.144710064E-1,5.637558103E-1,7.243940979E-2
1.115750917E0,-3.448603153E-1,6.370683312E-1,-3.333548829E-2
1.125721917E0,-3.938999474E-1,6.881676316E-1,-8.833325654E-2
1.135692917E0,-4.482428133E-1,6.827536821E-1,-8.726479858E-2
1.145663917E0,-4.827500582E-1,5.966700912E-1,-5.854411796E-2
