"Time (s)","Distance (cm)"
4.459458403E-3,5.000000000E0
2.999262512E-2,0.000000000E0
4.661066667E-2,5.000000000E0
1.196698458E0,0.000000000E0
7.913835042E0,5.000000000E0
8.105184583E0,0.000000000E0
1.225057142E1,5.000000000E0
1.228382417E1,0.000000000E0
1.350446183E1,5.000000000E0
1.395038350E1,0.000000000E0
1.508382025E1,5.000000000E0
1.560058696E1,0.000000000E0
1.603404308E1,5.000000000E0
1.735067613E1,0.000000000E0
3.305172775E1,5.000000000E0
3.595384946E1,0.000000000E0
6.358623983E1,5.000000000E0
6.403171896E1,0.000000000E0
6.944868758E1,5.000000000E0
