"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.209003925E-2,5.238010615E1,4.860616559E0,3.691226840E-1,NaN,NaN,1.199722937E3,6.524301147E1
5.556349754E-1,5.238135967E1,4.860223811E0,1.760255337E0,NaN,NaN,2.400000000E1,3.000000000E1
3.240734935E0,5.238129865E1,4.860444602E0,1.760255337E0,NaN,NaN,2.616644180E1,2.211826324E1
8.588471055E0,5.238132517E1,4.860463981E0,4.930076599E-1,0.000000000E0,NaN,2.154795328E1,4.000000000E0
9.588463426E0,5.238134495E1,4.860493150E0,6.051292419E-1,0.000000000E0,NaN,2.069680820E1,4.000000000E0
1.058847272E1,5.238134416E1,4.860509662E0,5.714988708E-1,0.000000000E0,NaN,2.164970301E1,4.000000000E0
1.158847964E1,5.238132928E1,4.860497341E0,5.412254333E-1,0.000000000E0,NaN,2.249675666E1,4.000000000E0
1.258846986E1,5.238130204E1,4.860459706E0,6.277122498E-1,0.000000000E0,NaN,2.339942473E1,4.000000000E0
1.358847392E1,5.238127157E1,4.860515445E0,5.579490662E-1,0.000000000E0,NaN,2.362494055E1,4.000000000E0
1.458847880E1,5.238127157E1,4.860515445E0,5.579491332E-1,0.000000000E0,NaN,2.362494055E1,4.000000000E0
1.558846056E1,5.238125384E1,4.860506225E0,5.898094857E-1,0.000000000E0,NaN,2.046058978E1,4.000000000E0
1.658844459E1,5.238127505E1,4.860527767E0,6.512108510E-1,0.000000000E0,NaN,1.811288981E1,4.000000000E0
1.758845031E1,5.238126956E1,4.860526426E0,4.886131957E-1,0.000000000E0,NaN,1.774413952E1,4.000000000E0
1.858844280E1,5.238126248E1,4.860540004E0,5.122948373E-1,0.000000000E0,NaN,1.764092548E1,4.000000000E0
1.958845389E1,5.238130045E1,4.860564480E0,3.814354613E-1,0.000000000E0,NaN,1.664054008E1,4.000000000E0
2.058846009E1,5.238131658E1,4.860555679E0,3.067284301E-1,0.000000000E0,NaN,1.638020064E1,4.000000000E0
2.158845162E1,5.238132144E1,4.860567246E0,2.152977679E-1,0.000000000E0,NaN,1.618990025E1,4.000000000E0
2.258844352E1,5.238133297E1,4.860572359E0,8.523184899E-2,0.000000000E0,NaN,1.541338882E1,4.000000000E0
2.358843613E1,5.238133288E1,4.860573784E0,7.693106681E-2,0.000000000E0,NaN,1.582479325E1,4.000000000E0
2.458842826E1,5.238131340E1,4.860557858E0,2.248192523E-1,0.000000000E0,NaN,1.436124118E1,4.000000000E0
2.558841980E1,5.238130552E1,4.860540507E0,4.096337054E-1,0.000000000E0,NaN,1.360028333E1,4.000000000E0
2.658841157E1,5.238129684E1,4.860532796E0,1.897850707E-1,0.000000000E0,NaN,1.137727327E1,4.000000000E0
2.758840299E1,5.238129370E1,4.860520978E0,2.215233538E-1,0.000000000E0,NaN,1.075266799E1,4.000000000E0
2.858839405E1,5.238128934E1,4.860521983E0,1.563988393E-1,0.000000000E0,NaN,1.018055967E1,4.000000000E0
2.958838475E1,5.238129462E1,4.860523660E0,1.031151507E-1,0.000000000E0,NaN,9.785050174E0,4.000000000E0
3.058837581E1,5.238129617E1,4.860519972E0,1.272850726E-1,0.000000000E0,NaN,9.639766719E0,4.000000000E0
3.158836734E1,5.238130854E1,4.860516367E0,1.399193509E-1,0.000000000E0,NaN,9.084707177E0,4.000000000E0
3.258835804E1,5.238129554E1,4.860513266E0,2.539940560E-1,0.000000000E0,NaN,7.968774639E0,4.000000000E0
3.358834922E1,5.238130263E1,4.860513685E0,4.688988421E-1,0.000000000E0,NaN,6.642745530E0,4.000000000E0
3.458833981E1,5.238127514E1,4.860513308E0,3.220135225E-1,3.855390170E-1,NaN,1.047801908E1,1.274774220E0
3.558833134E1,5.238126657E1,4.860500857E0,2.391627757E-1,2.962483172E-1,NaN,9.241560692E0,1.184522010E0
3.658832192E1,5.238127314E1,4.860495090E0,2.353120903E-1,2.763351355E-1,NaN,9.028462585E0,1.127674557E0
3.758831239E1,5.238126769E1,4.860495227E0,1.449107425E-1,2.449757456E-1,NaN,9.623064737E0,1.136743540E0
3.858830225E1,5.238127183E1,4.860498133E0,3.519911896E-1,5.207799788E-1,NaN,9.905088848E0,1.116039131E0
3.958829236E1,5.238128106E1,4.860494272E0,4.433441777E-1,6.037336963E-1,NaN,9.972221102E0,1.101758298E0
4.058828259E1,5.238127364E1,4.860498238E0,5.638032202E-1,2.230260096E-1,NaN,9.933540171E0,1.075844310E0
4.158827269E1,5.238128378E1,4.860500056E0,3.353250138E-1,1.746865004E-1,NaN,9.733662976E0,1.056457199E0
4.258826303E1,5.238126109E1,4.860517391E0,1.941031655E-1,1.077747187E-1,NaN,8.114013497E0,1.041354250E0
4.358825326E1,5.238124990E1,4.860515344E0,1.363667082E-1,4.080600735E-1,NaN,7.615166753E0,1.092622984E0
4.458824325E1,5.238125063E1,4.860520304E0,8.528754488E-2,8.728253742E-2,NaN,7.971395971E0,1.160642218E0
4.558823442E1,5.238123723E1,4.860525861E0,6.777906604E-2,4.364273117E-1,NaN,8.477335702E0,1.234858464E0
4.658822441E1,5.238122878E1,4.860536848E0,-2.460909719E-1,4.200992455E-1,NaN,8.989185753E0,1.253259982E0
4.758821416E1,5.238123938E1,4.860544243E0,-1.023559263E-1,1.850931593E-1,NaN,9.107656709E0,1.198217331E0
4.858820415E1,5.238124596E1,4.860542500E0,-1.024578263E0,3.801996981E-1,NaN,9.541861226E0,1.139760498E0
4.958819366E1,5.238126213E1,4.860538447E0,-2.069713843E0,4.166547256E-1,1.028772741E1,1.008440979E1,1.099028624E0
5.058818412E1,5.238125523E1,4.860510605E0,-2.178074016E0,6.811765757E-1,NaN,8.595156541E0,1.093119669E0
5.158817422E1,5.238125504E1,4.860516359E0,-2.124063390E0,5.273072969E-1,NaN,9.539844071E0,1.091555079E0
5.258816338E1,5.238120905E1,4.860490011E0,-1.763530837E0,1.384641305E0,1.962375828E2,1.029231141E1,1.064935529E0
5.358815432E1,5.238120188E1,4.860495238E0,-1.631843660E0,8.950086227E-1,1.894590676E2,1.098057527E1,1.095709056E0
5.458814371E1,5.238119788E1,4.860499572E0,-1.322278702E0,6.429576246E-1,NaN,1.189466534E1,1.148718986E0
5.558813310E1,5.238117446E1,4.860473423E0,-3.328218330E-1,7.492591123E-1,NaN,1.324003591E1,1.108151596E0
5.658812344E1,5.238116326E1,4.860467296E0,-5.410988256E-2,8.094643095E-1,NaN,1.567852381E1,1.163733294E0
5.758811331E1,5.238115180E1,4.860510020E0,1.886607753E-1,8.395985538E-1,NaN,1.499759213E1,1.227185565E0
5.858810270E1,5.238114209E1,4.860534014E0,3.980684225E-1,7.380390191E-1,NaN,1.286207054E1,1.288253872E0
5.958809304E1,5.238116367E1,4.860510044E0,5.268972442E-1,2.906340765E-1,NaN,1.061816258E1,1.327615770E0
6.058808255E1,5.238120222E1,4.860573583E0,-4.611400903E0,1.538394577E0,NaN,1.004870622E1,1.208836333E0
6.158807206E1,5.238122401E1,4.860573673E0,-4.491565199E0,1.177552547E0,NaN,7.600990685E0,1.247610610E0
6.258806169E1,5.238120871E1,4.860565964E0,-5.709163545E0,1.441287388E0,NaN,6.359024052E0,1.169343773E0
6.358805203E1,5.238118301E1,4.860546530E0,-4.273360888E0,7.964656069E-1,NaN,5.813080728E0,1.734261590E0
6.458804190E1,5.238117739E1,4.860548412E0,-3.990675188E0,3.868719417E-1,1.076535352E2,5.613363138E0,1.876485595E0
6.558803165E1,5.238118226E1,4.860530735E0,-2.470009021E0,2.673249279E-1,NaN,5.615023466E0,1.869134522E0
6.658802140E1,5.238117838E1,4.860512389E0,-2.011737531E0,5.008968903E-1,NaN,5.598125356E0,1.885235544E0
6.758801067E1,5.238117434E1,4.860497098E0,-2.295356685E0,6.538804034E-1,NaN,6.106644487E0,1.742594061E0
6.858800018E1,5.238116426E1,4.860493242E0,-1.982627948E0,5.136924687E-1,NaN,6.338360919E0,1.685425018E0
6.958799016E1,5.238116080E1,4.860491368E0,-1.673294405E0,3.613755415E-1,NaN,6.016263375E0,1.981580087E0
7.058798003E1,5.238117155E1,4.860503317E0,-5.730416041E0,1.458671741E0,NaN,5.280268824E0,2.437888058E0
