"Time (s)","Distance (cm)"
4.392666742E-3,5.000000000E0
2.964433352E-2,0.000000000E0
4.623691668E-2,5.000000000E0
4.163219708E0,0.000000000E0
4.734199708E0,5.000000000E0
5.626697083E0,0.000000000E0
5.743258042E0,5.000000000E0
5.859965250E0,0.000000000E0
6.076699250E0,5.000000000E0
6.509997625E0,0.000000000E0
6.626719625E0,5.000000000E0
7.543380750E0,0.000000000E0
7.660121875E0,5.000000000E0
7.943434458E0,0.000000000E0
8.726822958E0,5.000000000E0
8.925965375E0,0.000000000E0
8.996008750E0,5.000000000E0
9.389233500E0,0.000000000E0
1.038926204E1,5.000000000E0
1.196307133E1,0.000000000E0
1.297983996E1,5.000000000E0
2.299493708E1,0.000000000E0
2.412828700E1,5.000000000E0
2.984418367E1,0.000000000E0
3.017751708E1,5.000000000E0
3.669471129E1,0.000000000E0
3.814474438E1,5.000000000E0
3.880293525E1,0.000000000E0
5.672277113E1,5.000000000E0
5.685610700E1,0.000000000E0
5.784331221E1,5.000000000E0
5.804740129E1,0.000000000E0
5.845940150E1,5.000000000E0
5.884266263E1,0.000000000E0
6.179793013E1,5.000000000E0
