"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.356041852E-3,-5.770051117E0,1.674567719E0,7.979456635E0
1.332604163E-2,-5.719905396E0,1.550475769E0,7.907606049E0
2.329704165E-2,-5.588329010E0,1.277892609E0,7.836653595E0
3.326704167E-2,-5.293142853E0,1.086291046E0,7.848179626E0
4.323704168E-2,-5.127138062E0,1.188977509E0,7.867190094E0
5.320704170E-2,-5.326673126E0,1.319356384E0,7.856412506E0
6.317804172E-2,-5.647456055E0,1.292412415E0,7.886200562E0
7.314804173E-2,-5.769602051E0,1.232087860E0,7.979157257E0
8.311804174E-2,-5.685327301E0,1.165326691E0,8.058791656E0
9.308904177E-2,-5.455704803E0,1.085991669E0,8.027057648E0
1.030590418E-1,-5.255421295E0,1.081201630E0,7.990683289E0
1.130290418E-1,-5.131928101E0,1.167572021E0,8.018076324E0
1.229990418E-1,-5.219046936E0,1.255289612E0,8.030650177E0
1.329700418E-1,-5.265749817E0,1.381776581E0,8.112230530E0
1.429400418E-1,-5.255720673E0,1.462758179E0,8.114775238E0
1.529100419E-1,-5.228327637E0,1.409019928E0,8.043224030E0
1.628810416E-1,-5.267845459E0,1.406624908E0,7.947572937E0
1.728510417E-1,-5.366789703E0,1.423839111E0,7.926466827E0
1.828210417E-1,-5.561983795E0,1.408570862E0,7.876919861E0
1.927920417E-1,-5.748645630E0,1.447789307E0,7.804919586E0
2.027620417E-1,-5.855972443E0,1.539698181E0,7.765401764E0
2.127320417E-1,-5.921985168E0,1.598076782E0,7.743996277E0
2.227027083E-1,-5.926924896E0,1.511107635E0,7.833659821E0
2.326737083E-1,-5.624853058E0,1.451082458E0,7.984246674E0
2.426437084E-1,-5.142256622E0,1.498833160E0,7.981552277E0
2.526137084E-1,-4.882696381E0,1.592538300E0,7.836503906E0
2.625847084E-1,-5.019811249E0,1.592837677E0,7.729027405E0
2.725547084E-1,-5.460045776E0,1.570534058E0,7.744145966E0
2.825247084E-1,-5.843697968E0,1.519789581E0,7.757917328E0
2.924947084E-1,-6.131100311E0,1.540746002E0,7.723937988E0
3.024657085E-1,-6.339916077E0,1.512005768E0,7.654332733E0
3.124357085E-1,-6.207890625E0,1.369801483E0,7.576344910E0
3.224057085E-1,-5.821693726E0,1.056652679E0,7.358547821E0
3.323767085E-1,-5.499563599E0,7.467970276E-1,7.161108398E0
3.423467085E-1,-5.288203125E0,7.137158203E-1,7.053332520E0
3.523167083E-1,-5.367089081E0,9.566606140E-1,7.115453339E0
3.622867083E-1,-5.677693176E0,1.400936737E0,7.376510468E0
3.722577083E-1,-5.922284546E0,1.847757568E0,7.793094177E0
3.822277084E-1,-5.940546570E0,2.012864227E0,8.147407379E0
3.921977084E-1,-5.668113098E0,1.891167297E0,8.415948944E0
4.021687084E-1,-5.330115967E0,1.870510254E0,8.589438171E0
4.121387084E-1,-5.200036469E0,2.017354889E0,8.690627747E0
4.221087084E-1,-5.424868927E0,2.174827423E0,8.766070862E0
4.320797084E-1,-5.773793335E0,2.364932098E0,8.843010864E0
4.420497085E-1,-5.943540344E0,2.588716736E0,8.881780243E0
4.520197085E-1,-5.997278595E0,2.799179077E0,8.868757324E0
4.619897085E-1,-5.986650696E0,2.985541534E0,8.829239502E0
4.719607085E-1,-5.830076294E0,3.033441925E0,8.811725922E0
