"Time (s)","X (hPa)"
-5.273571252E-1,1.019675751E3
4.981978750E-1,1.019688263E3
1.523667875E0,1.019700851E3
2.548986875E0,1.019708862E3
3.574325875E0,1.019740982E3
4.599666875E0,1.019743347E3
4.748008875E0,1.019788513E3
5.697322875E0,1.019873352E3
6.646456875E0,1.019873352E3
7.595769875E0,1.019913559E3
8.545118875E0,1.019834137E3
9.494413875E0,1.019796677E3
1.044373587E1,1.019796677E3
1.139308487E1,1.019799194E3
1.234262887E1,1.019799194E3
1.329213287E1,1.019662323E3
1.424183988E1,1.019584732E3
1.519158987E1,1.019584732E3
1.614144387E1,1.019508209E3
1.709140987E1,1.019508209E3
1.804144187E1,1.019625244E3
1.899155987E1,1.019669342E3
1.994185187E1,1.019723587E3
2.089213587E1,1.019760284E3
2.184231887E1,1.019723587E3
2.279226587E1,1.019716949E3
2.374219187E1,1.019689484E3
2.469226187E1,1.019676819E3
2.564230387E1,1.019651337E3
2.659230987E1,1.019651337E3
2.754221187E1,1.019650497E3
2.849204787E1,1.019650497E3
2.944192987E1,1.019650497E3
3.039190787E1,1.019673615E3
3.134181687E1,1.019680710E3
3.229170287E1,1.019689941E3
3.324160087E1,1.019739151E3
3.419132287E1,1.019784088E3
3.514093587E1,1.019841309E3
3.609061687E1,1.019859619E3
3.704028887E1,1.019859619E3
3.798997287E1,1.019729080E3
3.893956087E1,1.019538956E3
3.988907987E1,1.019538956E3
4.083866287E1,1.019538956E3
4.178816887E1,1.019450302E3
4.273762687E1,1.019450302E3
4.368708187E1,1.019586182E3
4.463681987E1,1.019586182E3
4.558645987E1,1.019586182E3
4.653599987E1,1.019672546E3
4.748557487E1,1.019752884E3
4.843522887E1,1.019752884E3
4.938485987E1,1.019748077E3
5.033462687E1,1.019748077E3
5.128427987E1,1.019753571E3
5.223400287E1,1.019762802E3
5.318376587E1,1.019766617E3
5.413357187E1,1.019767303E3
5.508343387E1,1.019787598E3
5.603345487E1,1.019787598E3
5.698348887E1,1.019768524E3
5.793357687E1,1.019768524E3
5.888370187E1,1.019765472E3
5.983388287E1,1.019760818E3
6.078402587E1,1.019760818E3
6.173425687E1,1.019760818E3
6.268439487E1,1.019770737E3
6.363450187E1,1.019770737E3
6.458472487E1,1.019817734E3
6.553499587E1,1.019919434E3
6.648525787E1,1.019838943E3
6.743544987E1,1.019838943E3
6.838550387E1,1.019794617E3
