"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.981803894E-2,5.238051790E1,4.860497970E0,-2.142280340E0,NaN,NaN,8.091430019E2,5.061513519E1
5.205820799E-1,5.238129865E1,4.860444602E0,1.946233034E0,NaN,NaN,2.616644180E1,2.584651947E1
3.288477063E0,5.238129865E1,4.860444602E0,1.949421883E0,NaN,NaN,2.616644180E1,2.087741852E1
5.891097784E0,5.238114065E1,4.860355435E0,2.516746521E-1,0.000000000E0,NaN,1.951549946E1,4.000000000E0
6.891086459E0,5.238118603E1,4.860381586E0,4.882469177E-1,0.000000000E0,NaN,1.743818224E1,4.000000000E0
7.892453671E0,5.238124768E1,4.860414946E0,7.203636169E-1,0.000000000E0,NaN,1.867273893E1,4.000000000E0
8.892458200E0,5.238124487E1,4.860401955E0,5.693016052E-1,0.000000000E0,NaN,1.843323684E1,4.000000000E0
9.892448902E0,5.238125359E1,4.860416120E0,6.734886169E-1,0.000000000E0,NaN,1.778161643E1,4.000000000E0
1.089245546E1,5.238125875E1,4.860415701E0,6.906394958E-1,0.000000000E0,NaN,1.609496968E1,4.000000000E0
1.189246595E1,5.238124777E1,4.860426430E0,7.339134216E-1,0.000000000E0,NaN,1.484854680E1,4.000000000E0
1.289245772E1,5.238124550E1,4.860438751E0,9.273338318E-1,0.000000000E0,NaN,1.455710423E1,4.000000000E0
1.389246261E1,5.238127245E1,4.860411761E0,1.165004730E0,0.000000000E0,3.019921875E2,1.363488271E1,4.000000000E0
1.489247298E1,5.238127245E1,4.860411761E0,1.165004798E0,0.000000000E0,NaN,1.363488271E1,4.000000000E0
1.589246655E1,5.238129743E1,4.860435063E0,1.534267493E0,3.199999928E-1,NaN,1.629475197E1,4.000000000E0
1.689247489E1,5.238128972E1,4.860420311E0,1.722499916E0,8.299999833E-1,NaN,1.640108606E1,4.000000000E0
1.789248097E1,5.238121301E1,4.860454001E0,1.448207977E0,8.299999833E-1,3.227343692E2,1.072121508E1,4.000000000E0
1.889247417E1,5.238121214E1,4.860403212E0,8.523216937E-1,2.199999988E-1,NaN,9.943117807E0,4.000000000E0
1.989248264E1,5.238119115E1,4.860405475E0,5.386620266E-1,1.800000072E-1,NaN,9.815468396E0,4.000000000E0
2.089248919E1,5.238120024E1,4.860426262E0,1.241115639E0,3.600000143E-1,NaN,9.222816284E0,4.000000000E0
2.189248204E1,5.238119597E1,4.860444870E0,1.113918371E0,1.800000072E-1,NaN,9.602965855E0,4.000000000E0
2.289247644E1,5.238122212E1,4.860430704E0,1.218776771E0,1.800000072E-1,NaN,1.057835278E1,4.000000000E0
2.389246881E1,5.238122438E1,4.860428441E0,1.068752356E0,1.800000072E-1,NaN,1.057535828E1,4.000000000E0
2.489246273E1,5.238121449E1,4.860435566E0,1.011501381E0,3.199999928E-1,NaN,8.513096693E0,4.000000000E0
2.589245534E1,5.238120942E1,4.860451818E0,1.067653749E0,5.600000024E-1,9.386719400E1,8.758269130E0,4.000000000E0
2.689244890E1,5.238119478E1,4.860467943E0,1.395229438E0,6.299999952E-1,8.753906982E1,8.478068533E0,4.000000000E0
2.789244163E1,5.238118000E1,4.860472027E0,1.442287513E0,5.600000024E-1,NaN,8.447557264E0,4.000000000E0
2.889243388E1,5.238116814E1,4.860477727E0,1.482936929E0,0.000000000E0,NaN,7.713408354E0,4.000000000E0
2.989242637E1,5.238115992E1,4.860478900E0,1.590908120E0,0.000000000E0,NaN,8.281863711E0,4.000000000E0
3.089241803E1,5.238115037E1,4.860477392E0,1.375698158E0,4.900000095E-1,NaN,8.082729221E0,4.000000000E0
3.189240944E1,5.238114215E1,4.860468318E0,1.161281672E0,4.900000095E-1,2.274609333E2,7.579892831E0,4.000000000E0
3.289240122E1,5.238114530E1,4.860473201E0,1.369228431E0,0.000000000E0,NaN,7.056261618E0,4.000000000E0
3.389239264E1,5.238114350E1,4.860470267E0,8.099022582E-1,3.899999857E-1,NaN,6.499291643E0,4.000000000E0
3.489238405E1,5.238114554E1,4.860438855E0,3.544997489E-1,1.154008346E-1,NaN,9.697744687E0,1.403348771E0
3.589237595E1,5.238114305E1,4.860439095E0,3.625515169E-1,9.858703521E-2,NaN,9.643796635E0,1.405265464E0
3.689236605E1,5.238115450E1,4.860426518E0,3.429563101E-1,2.628095976E-1,NaN,1.021307942E1,1.432103369E0
3.789235735E1,5.238117634E1,4.860421911E0,3.717671055E-1,4.147578246E-1,NaN,9.692000543E0,1.428181250E0
3.889234841E1,5.238116942E1,4.860421666E0,3.785223430E-1,1.965210875E-1,NaN,1.043818382E1,1.430750764E0
3.989233899E1,5.238117333E1,4.860416651E0,3.692442952E-1,1.284784377E-1,NaN,1.118335327E1,1.406978081E0
