"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.048583352E-2,9.813988209E-2,-4.114537314E-2,1.729524694E-2
3.045683331E-2,9.068515897E-2,-6.566537172E-2,3.208111599E-2
4.042783333E-2,8.141823113E-2,-9.629209340E-2,4.707494006E-2
5.039883335E-2,6.784649193E-2,-1.205814555E-1,6.390691549E-2
6.036983337E-2,5.906539783E-2,-1.412619501E-1,7.713384181E-2
7.034083339E-2,6.489372998E-2,-1.443158090E-1,9.183342755E-2
8.031083341E-2,6.983552873E-2,-1.304957867E-1,1.140369773E-1
9.028183343E-2,7.674403489E-2,-1.254957020E-1,1.423053741E-1
1.002528335E-1,8.223529905E-2,-1.260899454E-1,1.755962968E-1
1.102238335E-1,9.460701048E-2,-1.173992530E-1,2.068069428E-1
1.201948335E-1,1.065666601E-1,-1.096527725E-1,2.268079817E-1
1.301658335E-1,1.184257194E-1,-8.114975691E-2,2.457190901E-1
1.401368335E-1,1.271753907E-1,-3.479510546E-2,2.633136213E-1
1.501068333E-1,1.341877580E-1,3.545626067E-3,2.824931741E-1
1.600778333E-1,1.393261701E-1,3.134685755E-2,2.949362099E-1
1.700488334E-1,1.532725990E-1,5.095491186E-2,3.024798632E-1
1.800198334E-1,1.702962220E-1,4.909928888E-2,3.051441610E-1
1.899908334E-1,1.903295815E-1,3.771320730E-2,2.980204523E-1
1.999618334E-1,1.993845701E-1,1.773518883E-2,2.885916829E-1
2.099318334E-1,1.988263726E-1,1.269222796E-2,2.826813161E-1
2.199028335E-1,2.027648091E-1,1.538283192E-2,2.709208727E-1
2.298738335E-1,2.102674693E-1,2.381253429E-2,2.650416791E-1
2.398448335E-1,2.237712890E-1,1.808703132E-2,2.581587136E-1
2.498158335E-1,2.328441441E-1,3.929883533E-4,2.525775433E-1
2.597868333E-1,2.331378013E-1,-3.248073906E-2,2.391054630E-1
2.697578333E-1,2.328459173E-1,-4.696247727E-2,2.223999798E-1
2.797278333E-1,2.257287800E-1,-5.434045941E-2,2.047430128E-1
2.896988334E-1,2.251854986E-1,-5.568562448E-2,1.981253326E-1
2.996698334E-1,2.255813926E-1,-3.933937103E-2,2.014091909E-1
3.096408334E-1,2.175676674E-1,-2.906569466E-2,2.092037350E-1
3.196118334E-1,2.181663066E-1,-1.666822284E-2,2.365656048E-1
3.295828335E-1,2.174288779E-1,8.599315770E-3,2.676380575E-1
