"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.976291632E-3,5.468918341E-1,-1.909817576E-1,-3.778190088E-1
1.894729165E-2,4.909440668E-1,-2.906112957E-1,-3.707660973E-1
2.891829167E-2,3.529126476E-1,-3.548628402E-1,-4.225309128E-1
3.888929146E-2,1.484616825E-1,-2.574178219E-1,-4.077538294E-1
4.886029148E-2,-5.277433723E-2,-2.291558897E-1,-3.209261853E-1
5.883129151E-2,-2.248378672E-1,-2.429173118E-1,-2.946990842E-1
6.880229153E-2,-2.865724777E-1,-2.033445257E-1,-4.024322784E-1
7.877329155E-2,-2.783853525E-1,-1.042312968E-1,-5.172482049E-1
8.874429157E-2,-2.353391741E-1,-6.373289645E-2,-6.262683713E-1
9.871529159E-2,-2.240457156E-1,-3.559141695E-2,-6.758282018E-1
1.086862916E-1,-2.070496139E-1,-3.974703312E-2,-6.460167575E-1
1.186572916E-1,-1.123945946E-1,-7.802816927E-2,-5.922574568E-1
1.286282917E-1,5.018226653E-3,-1.369096309E-1,-5.196443939E-1
1.385982917E-1,5.278340042E-2,-1.581174821E-1,-5.104859000E-1
1.485692915E-1,-9.402819782E-2,-1.202088135E-1,-5.096427315E-1
1.585402915E-1,-3.321638028E-1,-8.417008460E-2,-4.985868162E-1
1.685112915E-1,-4.435344037E-1,-1.007703298E-1,-4.708938181E-1
1.784809167E-1,-4.515048896E-1,-1.495173973E-1,-4.931214237E-1
1.884519167E-1,-4.616180876E-1,-1.526082355E-1,-6.005809683E-1
1.984229165E-1,-5.434915321E-1,-7.653771400E-2,-7.783234602E-1
2.083939165E-1,-6.595108156E-1,3.615918159E-3,-9.613927656E-1
2.183649165E-1,-8.346121202E-1,1.555102086E-1,-1.056188995E0
2.283359165E-1,-1.011879964E0,4.156826538E-1,-1.111054004E0
2.383069166E-1,-1.188819195E0,6.003745615E-1,-1.234795706E0
2.482779166E-1,-1.287185588E0,6.479890233E-1,-1.350747746E0
2.582489166E-1,-1.406987290E0,6.081852722E-1,-1.417285552E0
2.682199166E-1,-1.561755925E0,5.553165025E-1,-1.472678565E0
2.781909166E-1,-1.641387109E0,5.101350671E-1,-1.632760711E0
2.881619167E-1,-1.678183344E0,3.527087259E-1,-1.834642264E0
2.981329167E-1,-1.819617551E0,8.575292587E-2,-2.049822723E0
3.081039165E-1,-2.042303496E0,-3.251812041E-2,-2.327978865E0
3.180749165E-1,-2.335506863E0,-3.738300383E-2,-2.620157214E0
3.280459165E-1,-2.518709485E0,8.572135091E-2,-2.956898364E0
3.380169165E-1,-2.587497884E0,3.073384255E-1,-3.211331767E0
3.479879166E-1,-2.540254135E0,3.845409679E-1,-3.294134188E0
3.579589166E-1,-2.423621187E0,3.438531178E-1,-3.154823105E0
3.679289166E-1,-2.164508842E0,2.792466474E-1,-2.807734138E0
3.778999166E-1,-1.767707140E0,1.654580766E-1,-2.303942716E0
3.878709166E-1,-1.265642984E0,-5.019542277E-2,-1.811605403E0
3.978419167E-1,-7.735673350E-1,-3.275540042E-1,-1.429782806E0
4.078129167E-1,-4.061183631E-1,-7.170253444E-1,-1.123375842E0
4.177839165E-1,-1.909554452E-1,-1.156561714E0,-8.433427441E-1
4.277549165E-1,7.890291274E-2,-1.569234806E0,-5.949208635E-1
4.377259165E-1,4.166205472E-1,-2.002004194E0,-4.058049524E-1
4.476969165E-1,7.467052263E-1,-2.346625051E0,-3.129763108E-1
4.576679165E-1,1.041904247E0,-2.449538385E0,-3.157309341E-1
4.676389166E-1,1.261886148E0,-2.285226363E0,-4.081298053E-1
4.776099166E-1,1.283492195E0,-1.970770707E0,-3.778926837E-1
4.875809166E-1,1.140760199E0,-1.670895082E0,-2.870690525E-1
4.975519166E-1,9.313564959E-1,-1.310917683E0,-3.031921649E-1
5.075229167E-1,7.625807092E-1,-9.423314273E-1,-4.589064413E-1
5.174939167E-1,6.758749795E-1,-6.510085255E-1,-6.170443887E-1
5.274649165E-1,6.644609222E-1,-7.779357898E-1,-6.520937687E-1
5.374359165E-1,7.711451259E-1,-1.241895395E0,-5.475326890E-1
