"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.750067517716380E9,"2025-06-16 11:51:57.716 UTC+02:00"
"PAUSE",4.912395062507130E1,1.750067566839742E9,"2025-06-16 11:52:46.840 UTC+02:00"
