"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.750065319069124E9,"2025-06-16 11:15:19.069 UTC+02:00"
"PAUSE",5.887070758314803E1,1.750065377939156E9,"2025-06-16 11:16:17.939 UTC+02:00"
