"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.750066141325473E9,"2025-06-16 11:29:01.325 UTC+02:00"
"PAUSE",4.378638362511992E1,1.750066185111285E9,"2025-06-16 11:29:45.111 UTC+02:00"
