"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.748974943646875E9,"2025-06-03 20:22:23.647 UTC+02:00"
"PAUSE",3.365805487509351E1,1.748974977304483E9,"2025-06-03 20:22:57.304 UTC+02:00"
